BEL_NR;LEIST_BEZ;PL_EUR;GL_EUR
1628;Vestib. Verblendg. Keramik bei Impl.vers.;86,40;90,94
1630;Zahnfleisch Keramik;30,88;32,50
1638;Zahnfleisch Keramik bei Implantatvers.;30,88;32,50
1640;Vestibuläre Verblendung Komposite;65,76;69,22
1650;Zahnfleisch Komposite;17,85;18,78
2010;Metallbasis;125,60;132,21
2021;Einarmige gegossene Haltevorrichtung;10,76;11,32
2025;Kralle;10,76;11,32
2026;Ney-Stiel;10,76;11,32
2027;Auflage;10,76;11,32
2028;Umgehungsbügel bei Diastema;10,76;11,32
2031;Zweiarmige gegossene Haltevorrichtung;19,70;20,74
2041;Zweiarmige geg. Halte- u. Stützvorr./Auflage;26,60;28,00
2050;Bonwillklammer;48,46;51,02
2081;Rückenschutzplatte;35,14;36,99
2082;Metallzahn, gegossen;35,14;36,99
2083;Metallkaufläche, gegossen;35,14;36,99
2100;Lösungshilfe;10,17;10,70
2110;Unterfütterbarer Abschlussrand;16,22;17,08
2120;Zuschlag  einzelne gegossene Klammer;16,87;17,75
3010;Aufstellung Grundeinheit;26,45;27,84
3018;Aufstellung Grundeinh. bei Implantatvers.;26,45;27,84
3020;Aufstellen Wachs o. Kunststoff, je Zahn;1,59;1,67
3028;Aufst. Wachs o. Kunstst., je Zahn b. Implant.;1,59;1,67
3030;Aufstellen Metall, je Zahn;2,09;2,20
3410;Übertragung, je Zahn;1,31;1,38
3610;Fertigstellung Grundeinheit;44,44;46,77
3618;Fertigst. Grundeinheit bei Implantatvers.;44,44;46,77
3620;Fertigstellen, je Zahn;2,86;3,01
3628;Fertigstellen, je Zahn bei Implantatvers.;2,86;3,01
3800;Einfache gebog. Halte- und/oder Stützvorr.;8,77;9,24
3805;Gebogene Auflage;8,77;9,24
3810;Sonstige gebog. Halte- und/oder Stützvorr.;14,83;15,60
3821;Weichkunststoff (ZE);47,97;50,49
3822;Sonderkunststoff;47,97;50,49
3830;Zahn zahnfarben hergestellt;20,11;21,17
3840;Zahn zahnfarben hinterlegt;10,57;11,12
4010;Aufbissbehelf mit adjustierter Oberfläche;56,11;59,06
4020;Aufbissbehelf ohne adjustierte Oberfläche;46,28;48,72
4030;Umarbeiten zum Aufbissbehelf;43,69;45,98
4040;Semiperman. Schiene aus Metall, je Zahn;26,90;28,32
7010;Basis Einzelkiefergerät;44,06;46,38
7020;Basis bimaxilläres Gerät;76,91;80,96
7030;Schiefe Ebene;35,96;37,86
7040;Vorhofplatte;37,96;39,95
7050;Kinnkappe;42,87;45,12
7100;Aufbiss;8,07;8,49
7110;Abschirmelement;17,44;18,36
7121;Weichkunststoff (KFO);18,69;19,68
7122;Sonderkunststoff (KFO);18,69;19,68
7200;Schraube einarbeiten;13,36;14,07
7210;Spezialschraube einarbeiten;22,30;23,47
7220;Trennen einer Basis;5,89;6,20
7300;Labialbogen;16,01;16,86
7310;Labialbogen modifiziert;22,30;23,47
7320;Labialbogen intermaxillär;24,57;25,86
7330;Feder, offen;9,04;9,51
7340;Feder, geschlossen;12,26;12,91
7400;Verbindungselement/intra;17,88;18,81
7410;Verbindungselement/inter;22,30;23,47
7420;Verankerungselement;18,27;19,23
7430;Einzelelement einarbeiten;10,43;10,97
7440;Metallverbindung (KFO);7,60;8,00
7500;Einarmiges Halte-/Abstützelement;5,99;6,31
7510;Mehrarmiges Halte-/Abstützelement;9,00;9,47
8010;Grundeinheit Instandsetzung ZE;17,12;18,02
8018;Grundeinheit Instands. ZE/implantatgestü.;17,12;18,02
8021;LE Sprung;7,37;7,76
8022;LE Bruch;7,37;7,76
8023;LE Einarbeiten Zahn;7,37;7,76
8024;LE Basisteil Kunststoff;7,37;7,76
8025;LE Halte- und/oder Stützvorr. einarbeiten;7,37;7,76
8026;LE Rückenschutzplatte einarbeiten;7,37;7,76
8027;LE Kunststoffsattel;7,37;7,76
8030;Retention, gebogen;32,08;33,77
8040;Retention, gegossen;40,52;42,66
8060;Gegossenes Basisteil;61,41;64,64
8070;Metallverbind. b. Instandsetz./Erweiterung;16,07;16,91
8080;Teilunterfütterung einer Basis;31,47;33,12
8088;Teilunterfütterung/implantatgestützt;31,47;33,12
8090;Vollständige Unterfütterung;50,33;52,98
8098;Vollständige Unterfütterung/implantatgestü.;50,33;52,98
8100;Prothesenbasis erneuern;61,61;64,86
8108;Prothesenbasis erneuern bei Implantatvers.;61,61;64,86
8130;Auswechseln Konfektionsteil;10,80;11,36
8200;Instandsetzung Krone/Flügel/Brückenglied;31,68;33,34
8208;Instandsetzung Krone/implantatgestützt;31,68;33,34
8610;Grundeinheit/Instands. KFO o. Aufbissbehelf;13,45;14,16
8620;LE Einfügen Regulierungs- oder Halteelem.;5,74;6,05
8630;LE Ern. eines Elementes/interm. (alt: je Paar);11,17;11,75
8640;KFO-Basis erneuern;53,52;56,33
8700;Remontieren KFO-Gerät;26,16;27,54
9330;Versandkostenpauschale;;5,45
9338;Versandkosten bei Implantatversorgung;;5,45
9700;Verarbeitungsaufwand NEM-Legierung;12,71;12,71
