Kürzel;Nr.;Bezeichnung;Kassenart;Preis Kons Praxislabor;Preis Kons Gewerbelabor;Preis ZE Praxislabor;Preis ZE Gewerbelabor;Preis KFO Praxislabor;Preis KFO Gewerbelabor;Preis KB Praxislabor;Preis KB Gewerbelabor;Preis PA Praxislabor;Preis PA Gewerbelabor;
0214;0214;Basis für Stützstiftregistrierung;0;25,08;26,4;;;;;;;;;
0215;0215;Basis für Aufstellung;0;25,08;26,4;;;;;;;;;
0216;0216;Basis für Bissregistr. bei Implantatversorgung;0;25,08;26,4;;;;;;;;;
0217;0217;Individueller UKPS;0;25,08;26,4;;;;;;;;;
0218;0218;Basis für Aufstellung bei Implantatversorgung;0;25,08;26,4;;;;;;;;;
0220;0220;Bisswall;0;7,23;7,61;;;;;;;;;
0228;0228;Bisswall bei Implantatversorgung;0;7,23;7,61;;;;;;;;;
0230;0230;Registrierplatte und -stift auf Basen;0;32,24;33,94;;;;;;;;;
0240;0240;Übertragungskappe Kunststoff/Metall;0;27,61;29,06;;;;;;;;;
0310;0310;Provisorische Krone/Brückenglied;0;36,93;38,87;;;;;;;;;
0320;0320;Formteil;0;20,01;21,06;;;;;;;;;
1013;1013;Wurzelstiftkappe;0;86,03;90,56;;;;;;;;;
1021;1021;Vollkrone/Metall;0;92,47;97,34;;;;;;;;;
1022;1022;Teilkrone/Metall;0;92,47;97,34;;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;90,54;95,31;;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;91,72;96,55;;;;;;;;;
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;92,47;97,34;;;;;;;;;
1028;1028;Krone für vestib. Verbl. bei Implantatversorgung;0;91,72;96,55;;;;;;;;;
1031;1031;Vorbereiten Krone;0;15,45;16,26;;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;15,45;16,26;;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;15,45;16,26;;;;;;;;;
1040;1040;Modellation gießen;0;20,12;21,18;;;;;;;;;
1050;1050;Stiftaufbau;0;60,84;64,04;;;;;;;;;
1100;1100;Brückenglied;0;66,19;69,67;;;;;;;;;
1200;1200;Teleskopierende Krone;0;288,13;303,29;;;;;;;;;
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;192,27;202,39;;;;;;;;;
1331;1331;Individuelles Geschiebe;0;240,74;253,41;;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;119,29;125,57;;;;;;;;;
1343;1343;Konfektions-Anker;0;119,29;125,57;;;;;;;;;
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;79,37;83,55;;;;;;;;;
1349;1349;Wiederbef. Sek.-Teil ;0;79,37;83,55;;;;;;;;;
1360;1360;Gefrästes Lager;0;57,32;60,34;;;;;;;;;
1370;1370;Schubverteilungsarm;0;42,98;45,24;;;;;;;;;
1500;1500;Metallverbindung nach Brand;0;32,06;33,75;;;;;;;;;
1550;1550;Konditionierung je Zahn/Flügel;0;15,28;16,08;;;;;;;;;
1600;1600;Vestibuläre Verblendung Kunststoff;0;52,35;55,11;;;;;;;;;
1610;1610;Zahnfleisch Kunststoff;0;16,66;17,54;;;;;;;;;
1620;1620;Vestibuläre Verblendung Keramik;0;107,55;113,21;;;;;;;;;
1628;1628;Vestib. Verbl. Keramik bei Implantatv.;0;107,55;113,21;;;;;;;;;
1630;1630;Zahnfleisch Keramik;0;38,44;40,46;;;;;;;;;
1638;1638;Zahnfleisch Keramik bei Implantatv.;0;38,44;40,46;;;;;;;;;
1640;1640;Vestibuläre Verblendung Komposite;0;81,86;86,17;;;;;;;;;
1650;1650;Zahnfleisch Komposite;0;22,19;23,36;;;;;;;;;
2010;2010;Metallbasis;0;156,35;164,58;;;;;;;;;
2021;2021;Einarmige gegossene Haltevorrichtung;0;13,4;14,1;;;;;;;;;
2025;2025;Kralle (gegossen);0;13,4;14,1;;;;;;;;;
2026;2026;Ney-Stiel (gegossen);0;13,4;14,1;;;;;;;;;
2027;2027;Auflage (gegossen);0;13,4;14,1;;;;;;;;;
2028;2028;Umgehungsbügel bei Diastema (gegossen);0;13,4;14,1;;;;;;;;;
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;24,52;25,81;;;;;;;;;
2041;2041;Zweiarm. gegossene Halte- + Stützvorr. mit Auflage;0;33,12;34,86;;;;;;;;;
2050;2050;Bonwillklammer (gegossen);0;60,42;63,6;;;;;;;;;
2081;2081;Rückenschutzplatte;0;43,74;46,04;;;;;;;;;
2082;2082;Metallzahn, gegossen;0;43,74;46,04;;;;;;;;;
2083;2083;Metallkaufläche, gegossen;0;43,74;46,04;;;;;;;;;
2100;2100;Lösungshilfe;0;12,64;13,31;;;;;;;;;
2110;2110;Unterfütterbarer Abschlussrand;0;20,19;21,25;;;;;;;;;
2120;2120;Zuschlag einzelne gegossene Klammer;0;20,99;22,09;;;;;;;;;
3010;3010;Aufstellung, Grundeinheit;0;32,94;34,67;;;;;;;;;
3018;3018;Aufstellung, Grundeinheit bei Implantatv.;0;32,94;34,67;;;;;;;;;
3020;3020;Aufstellen Wachs oder Kunststoff je Zahn;0;1,97;2,07;;;;;;;;;
3028;3028;Aufst. Wachs o. Kunststoff je Zahn bei Implantatv.;0;1,97;2,07;;;;;;;;;
3030;3030;Aufstellen Metall je Zahn;0;2,59;2,73;;;;;;;;;
3410;3410;Übertragung je Zahn;0;1,62;1,71;;;;;;;;;
3610;3610;Fertigstellung Grundeinheit;0;55,29;58,2;;;;;;;;;
3618;3618;Fertigst. Grundeinheit bei Implantatv.;0;55,29;58,2;;;;;;;;;
3620;3620;Fertigstellen je Zahn;0;3,55;3,74;;;;;;;;;
3628;3628;Fertigstellen je Zahn bei Implantatv.;0;3,55;3,74;;;;;;;;;
3800;3800;Einfache gebogene Halte-/Stützvorrichtung;0;10,92;11,49;;;;;;;;;
3805;3805;Gebogene Klammer;0;10,92;11,49;;;;;;;;;
3810;3810;Sonstige gebogene Halte- und/oder Stützvorrichtung;0;18,43;19,4;;;;;;;;;
3821;3821;Weichkunststoff (nur bei KBR und ZE);0;59,71;62,85;;;;;;;;;
3822;3822;Sonderkunststoff (nur bei KBR und ZE);0;59,71;62,85;;;;;;;;;
3830;3830;Zahn zahnfarben hergestellt;0;25,04;26,36;;;;;;;;;
3840;3840;Zahn zahnfarben hinterlegt;0;13,14;13,83;;;;;;;;;
4010;4010;Aufbissbehelf m. adj. Oberfläche;0;87,95;92,58;;;;;;;;;
4020;4020;Aufbissbehelf o. adj. Oberfläche;0;64,03;67,4;;;;;;;;;
4030;4030;Umarbeiten zum Aufbissbehelf;0;45,36;47,75;;;;;;;;;
4040;4040;Semipermanente Schiene Metall, je Zahn;0;38,87;40,92;;;;;;;;;
5010;5010;Basen UKPS;0;281,98;296,82;;;;;;;;;
5020;5020;Vestibuläre Protrusionsgleitfläche UKPS;0;17,4;18,32;;;;;;;;;
5100;5100;Befestigungselement Protrusionselement UKPS;0;13,67;14,39;;;;;;;;;
5110;5110;Montage Protrusionselement UKPS;0;13,67;14,39;;;;;;;;;
5200;5200;Befestigungselement Mundöffungsbegrenzungselement UKPS;0;10,92;11,49;;;;;;;;;
5210;5210;Einfache gebogenes Haltelement für UKPS;0;10,92;11,49;;;;;;;;;
7010;7010;Basis für Einzelkiefergerät;0;48,84;51,41;;;;;;;;;
7020;7020;Basis bimaxilläres Gerät;0;80,82;85,07;;;;;;;;;
7030;7030;Schiefe Ebene;0;42,28;44,51;;;;;;;;;
7040;7040;Vorhofplatte;0;61,56;64,8;;;;;;;;;
7050;7050;Kinnkappe;0;46,65;49,1;;;;;;;;;
7100;7100;Aufbiss;0;9,31;9,8;;;;;;;;;
7110;7110;Abschirmelement;0;17,4;18,32;;;;;;;;;
7121;7121;Weichkunststoff (nur bei KFO);0;29,84;31,41;;;;;;;;;
7122;7122;Sonderkunststoff (nur bei KFO);0;49,56;52,17;;;;;;;;;
7200;7200;Schraube einarbeiten;0;13,67;14,39;;;;;;;;;
7210;7210;Spezial-Schraube einarbeiten;0;19,87;20,92;;;;;;;;;
7220;7220;Trennen einer Basis;0;6,23;6,56;;;;;;;;;
7300;7300;Labialbogen;0;18,68;19,66;;;;;;;;;
7310;7310;Labialbogen modifiziert;0;24,87;26,18;;;;;;;;;
7320;7320;Labialbogen intermaxillär;0;27,98;29,45;;;;;;;;;
7330;7330;Feder, offen;0;8,09;8,52;;;;;;;;;
7340;7340;Feder, geschlossen;0;9,96;10,48;;;;;;;;;
7400;7400;Verbindungselement/intramaxillär;0;23,01;24,22;;;;;;;;;
7410;7410;Verbindungselemente/intermaxillär;0;23,63;24,87;;;;;;;;;
7420;7420;Verankerungselement;0;21,78;22,93;;;;;;;;;
7430;7430;Einzelelement einarbeiten;0;11,5;12,11;;;;;;;;;
7440;7440;Metallverbindung (KFO);0;14,31;15,06;;;;;;;;;
7500;7500;Einarmiges H-/A-Element;0;10;10,53;;;;;;;;;
7510;7510;Mehrarmiges H-/A-Element;0;12,12;12,76;;;;;;;;;
8010;8010;Grundeinheit ZE;0;21,3;22,42;;;;;;;;;
8018;8018;Grundeinh. Instands. ZE/implantatgest.;0;21,3;22,42;;;;;;;;;
8021;8021;LE Sprung;0;9,18;9,66;;;;;;;;;
8022;8022;LE Bruch;0;9,18;9,66;;;;;;;;;
8023;8023;LE Einarbeiten Zahn;0;9,18;9,66;;;;;;;;;
8024;8024;LE Basisteil Kunststoff;0;9,18;9,66;;;;;;;;;
8025;8025;LE Halte- und/oder Stützvorrichtung einarbeiten;0;9,18;9,66;;;;;;;;;
8026;8026;LE Rückenschutzplatte einarbeiten;0;9,18;9,66;;;;;;;;;
8027;8027;LE Kunststoffsattel;0;9,18;9,66;;;;;;;;;
8030;8030;Retention, gebogen;0;39,94;42,04;;;;;;;;;
8040;8040;Retention, gegossen;0;50,45;53,11;;;;;;;;;
8060;8060;Gegossenes Basisteil;0;76,43;80,45;;;;;;;;;
8070;8070;Metallverbindung bei Instandsetzung/Erweiterung;0;20,01;21,06;;;;;;;;;
8080;8080;Teilunterfütterung einer Basis;0;39,18;41,24;;;;;;;;;
8085;8085;Teilunterfütterung einer Basis UKPS;0;39,18;41,24;;;;;;;;;
8088;8088;Teilunterfütterung/implantatgest.;0;39,18;41,24;;;;;;;;;
8090;8090;Vollständige Unterfütterung;0;62,66;65,96;;;;;;;;;
8098;8098;Vollst. Unterfütterung/implantatgest.;0;62,66;65,96;;;;;;;;;
8100;8100;Prothesenbasis erneuern;0;76,67;80,71;;;;;;;;;
8108;8108;Prothesenbasis erneuern/Implantatv.;0;76,67;80,71;;;;;;;;;
8130;8130;Auswechseln Konfektionsteil;0;13,44;14,15;;;;;;;;;
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;39,43;41,5;;;;;;;;;
8208;8208;Instandsetzung Krone/implantatgest.;0;39,43;41,5;;;;;;;;;
8500;8500;Grundeinheit/Instands. und/oder Erweiterung UKPS;0;55,38;58,29;;;;;;;;;
8511;8511;LE Erneuerung Basis ;0;140,99;148,41;;;;;;;;;
8512;8512;LE Sprung/ Bruch ;0;9,18;9,66;;;;;;;;;
8513;8513;LE Basisteil Kunststoff UKPS ;0;9,18;9,66;;;;;;;;;
8514;8514;LE Halte- und/oder Stützvorrichtung einarbeiten UKPS;0;9,18;9,66;;;;;;;;;
8610;8610;Grundeinheit/Instands. KFO oder Aufbissbehelf;0;19,18;20,19;;;;;;;;;
8620;8620;LE Einfügen Regulierungs- oder Halteelement;0;9,57;10,07;;;;;;;;;
8630;8630;LE Erneuerung eines Elementes/intermaxillär;0;13,92;14,65;;;;;;;;;
8640;8640;KFO-Basis erneuern;0;78,7;82,84;;;;;;;;;
8700;8700;Remontieren KFO-Gerät;0;35,89;37,78;;;;;;;;;
9330;9330;Versandkosten (nur FL);0;0;6,55;;;;;;;;;
9335;9335;Versandkosten UKPS;0;0;6,55;;;;;;;;;
9338;9338;Versandkosten bei Implantatv. (nur FL);0;0;6,55;;;;;;;;;
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;15,74;15,74;;;;;;;;;
