BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
7510;7510;Mehrarmiges Halte-/Abstützelement;0;9,17;9,65
8010;8010;Grundeinheit Instandsetzung ZE;0;17,47;18,39
8018;8018;Grundeinheit Instands. ZE/implantatgestü.;0;17,47;18,39
8021;8021;LE Sprung;0;7,52;7,92
8022;8022;LE Bruch;0;7,52;7,92
8023;8023;LE Einarbeiten Zahn;0;7,52;7,92
8024;8024;LE Basisteil Kunststoff;0;7,52;7,92
8025;8025;LE Halte- und/oder Stützvorr. einarbeiten;0;7,52;7,92
8026;8026;LE Rückenschutzplatte einarbeiten;0;7,52;7,92
8027;8027;LE Kunststoffsattel;0;7,52;7,92
8030;8030;Retention, gebogen;0;32,76;34,48
8040;8040;Retention, gegossen;0;41,37;43,55
8060;8060;Gegossenes Basisteil;0;62,68;65,98
8070;8070;Metallverbind. b. Instandsetz./Erweiterung;0;16,41;17,27
8080;8080;Teilunterfütterung einer Basis;0;32,12;33,81
8088;8088;Teilunterfütterung/implantatgestützt;0;32,12;33,81
8090;8090;Vollständige Unterfütterung;0;51,39;54,09
8098;8098;Vollständige Unterfütterung/implantatgestü.;0;51,39;54,09
8100;8100;Prothesenbasis erneuern;0;62,87;66,18
8108;8108;Prothesenbasis erneuern bei Implantatvers.;0;62,87;66,18
8130;8130;Auswechseln Konfektionsteil;0;11,02;11,60
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;32,34;34,04
8208;8208;Instandsetzung Krone/implantatgestützt;0;32,34;34,04
8610;8610;Grundeinheit/Instands. KFO o. Aufbissbehelf;0;13,70;14,42
8620;8620;LE Einfügen Regulierungs- oder Halteelem.;0;5,85;6,16
8630;8630;LE Ern. eines Elementes/interm. (alt: je Paar);0;11,37;11,97
8640;8640;KFO-Basis erneuern;0;54,51;57,38
8700;8700;Remontieren KFO-Gerät;0;26,65;28,05
9330;9330;Versandkostenpauschale;0;;5,52
9338;9338;Versandkosten bei Implantatversorgung;0;;5,52
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;12,98;12,98
