kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
1500;1500;Metallverbindung nach Brand;0;;;27,52 €;28,97 €;;;27,52 €;28,97 €;;
1550;1550;Konditionierung je Zahn/Flügel;0;;;12,84 €;13,52 €;12,84 €;13,52 €;12,84 €;13,52 €;;
1600;1600;Vestibuläre Verblendung Kunststoff;0;;;40,96 €;43,12 €;40,96 €;43,12 €;40,96 €;43,12 €;;
1610;1610;Zahnfleisch Kunststoff;0;;;13,04 €;13,73 €;13,04 €;13,73 €;13,04 €;13,73 €;;
1620;1620;Vestibuläre Verblendung Keramik;0;;;87,18 €;91,77 €;;;87,18 €;91,77 €;;
1628;1628;Vestib. Verbl. Keramik bei Implantatv.;0;;;87,18 €;91,77 €;;;87,18 €;91,77 €;;
1630;1630;Zahnfleisch Keramik;0;;;31,84 €;33,52 €;;;31,84 €;33,52 €;;
1638;1638;Zahnfleisch  Keramik bei Implantatv.;0;;;31,84 €;33,52 €;;;31,84 €;33,52 €;;
1640;1640;Vestibuläre Verblendung Komposit;0;;;67,11 €;70,64 €;67,11 €;70,64 €;67,11 €;70,64 €;;
1650;1650;Zahnfleisch Komposit;0;;;17,33 €;18,24 €;17,33 €;18,24 €;17,33 €;18,24 €;;
2010;2010;Metallbasis;0;;;131,75 €;138,68 €;131,75 €;138,68 €;131,75 €;138,68 €;;
2021;2021;Einarmige gegossene Haltevorrichtung;0;;;11,50 €;12,10 €;11,50 €;12,10 €;11,50 €;12,10 €;;
2025;2025;Kralle;0;;;11,50 €;12,10 €;11,50 €;12,10 €;11,50 €;12,10 €;;
2026;2026;Ney-Stiel;0;;;11,26 €;11,85 €;11,26 €;11,85 €;11,26 €;11,85 €;;
2027;2027;Auflage;0;;;11,50 €;12,10 €;11,50 €;12,10 €;11,50 €;12,10 €;;
2028;2028;Umgehungsbügel bei Diastema;0;;;11,50 €;12,10 €;11,50 €;12,10 €;11,50 €;12,10 €;;
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;;;21,05 €;22,16 €;21,05 €;22,16 €;21,05 €;22,16 €;;
2041;2041;Zweiarmige gegossene Halte- und Stützvorrichtung/ Auflage;0;;;27,49 €;28,94 €;27,49 €;28,94 €;27,49 €;28,94 €;;
2050;2050;Bonwillklammer;0;;;49,32 €;51,92 €;49,32 €;51,92 €;49,32 €;51,92 €;;
2081;2081;Rückenschutzplatte;0;;;34,22 €;36,02 €;34,22 €;36,02 €;34,22 €;36,02 €;;
2082;2082;Metallzahn, gegossen;0;;;34,22 €;36,02 €;34,22 €;36,02 €;34,22 €;36,02 €;;
2083;2083;Metallkaufläche, gegossen;0;;;34,22 €;36,02 €;34,22 €;36,02 €;34,22 €;36,02 €;;
2100;2100;Lösungshilfe;0;;;10,86 €;11,43 €;;;10,86 €;11,43 €;;
2110;2110;Unterfütterbarer Abschlussrand;0;;;17,34 €;18,25 €;;;17,34 €;18,25 €;;
2120;2120;Zuschlag einzelne gegossene Klammer;0;;;16,78 €;17,66 €;16,78 €;17,66 €;16,78 €;17,66 €;;
3010;3010;Aufstellung Grundeinheit;0;;;28,27 €;29,76 €;;;28,27 €;29,76 €;;
3018;3018;Aufstellung Grundeinheit bei Implantatv.;0;;;28,27 €;29,76 €;;;28,27 €;29,76 €;;
3020;3020;Aufstellen Wachs oder Kunststoff, je Zahn;0;;;1,63 €;1,72 €;1,63 €;1,72 €;1,63 €;1,72 €;;
3028;3028;Aufst. Wachs- oder Kunststoff je Zahn bei Implantatv.;0;;;1,63 €;1,72 €;;;1,63 €;1,72 €;;
3030;3030;Aufstellen Metall je Zahn;0;;;2,14 €;2,25 €;2,14 €;2,25 €;2,14 €;2,25 €;;
3410;3410;Übertragung je Zahn;0;;;1,40 €;1,47 €;;;1,40 €;1,47 €;;
3610;3610;Fertigstellung Grundeinheit;0;;;47,48 €;49,98 €;;;47,48 €;49,98 €;;
3618;3618;Fertigst. Grundeinheit bei Implantatv.;0;;;47,48 €;49,98 €;;;47,48 €;49,98 €;;
3620;3620;Fertigstellen je Zahn;0;;;2,95 €;3,11 €;2,95 €;3,11 €;2,95 €;3,11 €;;
3628;3628;Fertigstellen je Zahn bei Implantatv.;0;;;2,92 €;3,07 €;;;2,92 €;3,07 €;;
3800;3800;Einfache gebogene Halte- /Stützvorrichtung;0;;;8,53 €;8,98 €;8,53 €;8,98 €;8,53 €;8,98 €;;
3805;3805;Gebogene Auflage;0;;;8,53 €;8,98 €;8,53 €;8,98 €;8,53 €;8,98 €;;
3810;3810;Sonstige gebogene Halte- und/oder Stützvorrichtung;0;;;15,83 €;16,66 €;15,83 €;16,66 €;15,83 €;16,66 €;;
3821;3821;Weichkunststoff;0;;;50,30 €;52,95 €;50,30 €;52,95 €;50,30 €;52,95 €;;
3822;3822;Sonderkunststoff;0;;;50,30 €;52,95 €;50,30 €;52,95 €;50,30 €;52,95 €;;
3830;3830;Zahn zahnfarben hergestellt;0;;;21,08 €;22,19 €;21,08 €;22,19 €;21,08 €;22,19 €;;
3840;3840;Zahn zahnfarben hinterlegt;0;;;10,48 €;11,03 €;10,48 €;11,03 €;10,48 €;11,03 €;;
4010;4010;Aufbissbehelf m.adj. Oberfläche;0;;;87,81 €;92,43 €;87,81 €;92,43 €;87,81 €;92,43 €;;
4011;4011;Aufbißschiene;0;;;;;;;;;;
4020;4020;Aufbissbehelf o. adj. Oberfläche;0;;;62,90 €;66,21 €;62,90 €;66,21 €;62,90 €;66,21 €;;
4030;4030;Umarbeiten zum  Aufbissbehelf;0;;;45,37 €;47,76 €;45,37 €;47,76 €;45,37 €;47,76 €;;
4040;4040;Semipermanente Schiene aus Metall, je Zahn;0;;;19,92 €;20,97 €;19,92 €;20,97 €;19,92 €;20,97 €;;
4060;4060;Semipermanente Schiene aus Kunststoff, je Zahn;0;;;;;;;;;;
M5001;M5001;Abformmaterial;0;;;;;;;;;;
M5011;M5011;Bissregistrat (Quetschbiss);0;;;;;;;;;;
M5022;M5022;Kinnkappe;0;;;;;;;;;;
M5023;M5023;Kopfkappe (konfektioniert);0;;;;;;;;;;
M5024;M5024;Kopfkinnkappe;0;;;;;;;;;;
M5025;M5025;Positioner/Prefinisher;0;;;;;;;;;;
M5031;M5031;Schrauben;0;;;;;;;;;;
M5032;M5032;Headgearröhrchen;0;;;;;;;;;;
M5033;M5033;Zahn;0;;;;;;;;;;
M5041;M5041;Weich- und Sonderkunststoffe;0;;;;;;;;;;
M5042;M5042;Festsitzende Kunststoffaufbisse (okklusal);0;;;;;;;;;;
M5053;M5053;Silikonschlauch (bei Allergie);0;;;;;;;;;;
M5071;M5071;Testmaterial;0;;;;;;;;;;
M5091;M5091;Nackenpolster;0;;;;;;;;;;
M5092;M5092;Kopfkappe (intra-extraoral);0;;;;;;;;;;
M5093;M5093;Nackenzug;0;;;;;;;;;;
M5094;M5094;Herbstscharnier;0;;;;;;;;;;
M5095;M5095;Bügel/Sporne;0;;;;;;;;;;
M5102;M5102;Delaire - Maske;0;;;;;;;;;;
M5410;M5410;Kunststoffmaterial (Unterfütterung, Adjustierung, Fixierung);0;;;;;;;;;;
M5420;M5420;Compositematerial (semipermanente Schiene);0;;;;;;;;;;
M5425;M5425;Polyesterfäden bzw. -netze, Gummizüge;0;;;;;;;;;;
M5440;M5440;Draht/Drahtelemente zur Fixierung;0;;;;;;;;;;
M5460;M5460;Osteosynthesematerial (Platten u. Schrauben);0;;;;;;;;;;
M5461;M5461;Obturator;0;;;;;;;;;;
M5462;M5462;Resektions-/ Defektprothese;0;;;;;;;;;;
M5463;M5463;Epithese;0;;;;;;;;;;
M5464;M5464;Wundschnellverband;0;;;;;;;;;;
M5480;M5480;Schuchardtschiene für GOÄ 2698/2699 (Unfall);0;;;;;;;;;;
M5510;M5510;Provisorische Krone/Brückenglied;0;;;;;;;;;;
M5511;M5511;Stiftprovisorium;0;;;;;;;;;;
M5599;M5599;ZE – Fertigteile (konf Stiftaufbau, angussf. Stifte, Friktio;0;;;;;;;;;;
M5998;M5998;Rabatt;0;;;;;;;;;;
M5999;M5999;Sonstige Materialien;0;;;;;;;;;;
7010;7010;Basis für Einzelkiefergerät;0;;;54,86 €;57,75 €;54,86 €;57,75 €;54,86 €;57,75 €;;
7020;7020;Basis bimaxilläres Gerät;0;;;91,83 €;96,66 €;91,83 €;96,66 €;91,83 €;96,66 €;;
7030;7030;Schiefe Ebene;0;;;44,25 €;46,58 €;44,25 €;46,58 €;44,25 €;46,58 €;;
7040;7040;Vorhofplatte;0;;;59,02 €;62,13 €;59,02 €;62,13 €;59,02 €;62,13 €;;
7050;7050;Kinnkappe;0;;;49,18 €;51,77 €;49,18 €;51,77 €;49,18 €;51,77 €;;
7100;7100;Aufbiss;0;;;9,83 €;10,35 €;9,83 €;10,35 €;9,83 €;10,35 €;;
7110;7110;Abschirmelement;0;;;19,01 €;20,01 €;19,01 €;20,01 €;19,01 €;20,01 €;;
7121;7121;Weichkunststoff (KFO);0;;;31,82 €;33,49 €;31,82 €;33,49 €;31,82 €;33,49 €;;
7122;7122;Sonderkunststoff (KFO);0;;;31,82 €;33,49 €;31,82 €;33,49 €;31,82 €;33,49 €;;
7200;7200;Schraube einarbeiten;0;;;15,07 €;15,86 €;15,07 €;15,86 €;15,07 €;15,86 €;;
7210;7210;Spezial-Schraube einarbeiten;0;;;23,89 €;25,15 €;23,89 €;25,15 €;23,89 €;25,15 €;;
7220;7220;Trennen einer Basis;0;;;7,06 €;7,43 €;7,06 €;7,43 €;7,06 €;7,43 €;;
7300;7300;Labialbogen;0;;;19,94 €;20,99 €;19,94 €;20,99 €;19,94 €;20,99 €;;
7310;7310;Labialbogen modifiziert;0;;;28,31 €;29,80 €;28,31 €;29,80 €;28,31 €;29,80 €;;
7320;7320;Labialbogen intermaxillär;0;;;29,51 €;31,06 €;29,51 €;31,06 €;29,51 €;31,06 €;;
7330;7330;Feder, offen;0;;;8,32 €;8,76 €;8,32 €;8,76 €;8,32 €;8,76 €;;
7340;7340;Feder, geschlossen;0;;;11,05 €;11,63 €;11,05 €;11,63 €;11,05 €;11,63 €;;
7400;7400;Verbindungselement/intramaxillär;0;;;24,92 €;26,23 €;24,92 €;26,23 €;24,92 €;26,23 €;;
7410;7410;Verbindungselemente/intermaxillär;0;;;21,07 €;22,18 €;21,07 €;22,18 €;21,07 €;22,18 €;;
7420;7420;Verankerungselement;0;;;21,07 €;22,18 €;21,07 €;22,18 €;21,07 €;22,18 €;;
7430;7430;Einzelelement einarbeiten;0;;;12,12 €;12,76 €;12,12 €;12,76 €;12,12 €;12,76 €;;
7440;7440;Metallverbindung (KFO);0;;;12,48 €;13,14 €;12,48 €;13,14 €;12,48 €;13,14 €;;
7500;7500;Einarmiges H-/A-Element;0;;;8,16 €;8,59 €;8,16 €;8,59 €;8,16 €;8,59 €;;
7510;7510;Mehrarmiges H-/A-Element;0;;;18,09 €;19,04 €;18,09 €;19,04 €;18,09 €;19,04 €;;
8010;8010;Grundeinheit  ZE;0;;;18,30 €;19,26 €;;;18,30 €;19,26 €;;
8018;8018;Grundeinh. Instands. ZE/implantatgest.;0;;;18,30 €;19,26 €;;;18,30 €;19,26 €;;
8021;8021;LE Sprung;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8022;8022;LE Bruch;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8023;8023;LE Einarbeiten Zahn;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8024;8024;LE Basisteil Kunststoff;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8025;8025;LE Halte- und/oder Stützvorrichtung einarbeiten;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8026;8026;LE Rückenschutzplatte einarbeiten;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8027;8027;LE Kunststoffsattel;0;;;7,88 €;8,29 €;7,88 €;8,29 €;7,88 €;8,29 €;;
8030;8030;Retention, gebogen;0;;;32,87 €;34,60 €;;;32,87 €;34,60 €;;
8040;8040;Retention, gegossen;0;;;40,78 €;42,93 €;;;40,78 €;42,93 €;;
8060;8060;Gegossenes Basisteil;0;;;65,64 €;69,09 €;;;65,64 €;69,09 €;;
8070;8070;Metallverbindung bei Instandsetzung /Erweiterung;0;;;15,57 €;16,39 €;;;15,57 €;16,39 €;;
8080;8080;Teilunterfütterung einer Basis;0;;;30,75 €;32,37 €;30,75 €;32,37 €;30,75 €;32,37 €;;
8088;8088;Teilunterfütterung/implantatgest.;0;;;30,75 €;32,37 €;;;30,75 €;32,37 €;;
8090;8090;Vollständige Unterfütterung;0;;;52,11 €;54,85 €;52,11 €;54,85 €;52,11 €;54,85 €;;
8098;8098;Vollst. Unterfütterung/implantatgest.;0;;;52,11 €;54,85 €;;;52,11 €;54,85 €;;
8100;8100;Prothesenbasis erneuern;0;;;65,84 €;69,30 €;;;65,84 €;69,30 €;;
8108;8108;Prothesenbasis erneuern/Implantatv.;0;;;65,84 €;69,30 €;;;65,84 €;69,30 €;;
8130;8130;Auswechseln Konfektionsteil;0;;;10,95 €;11,53 €;;;10,95 €;11,53 €;;
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;;;33,86 €;35,64 €;;;33,86 €;35,64 €;;
8208;8208;Instandsetzung Krone/implantatgest.;0;;;33,86 €;35,64 €;;;33,86 €;35,64 €;;
8610;8610;Grundeinheit / Instands. KFO oder Aufbissbehelf;0;;;19,21 €;20,22 €;19,21 €;20,22 €;19,21 €;20,22 €;;
8620;8620;LE Einfügen Regulierungs- oder Haltelement;0;;;7,78 €;8,19 €;7,78 €;8,19 €;7,78 €;8,19 €;;
8630;8630;LE Erneuerung eines Elementes/intermaxillär;0;;;10,54 €;11,09 €;10,54 €;11,09 €;10,54 €;11,09 €;;
8640;8640;KFO-Basis erneuern;0;;;71,85 €;75,63 €;71,85 €;75,63 €;71,85 €;75,63 €;;
8700;8700;Remontieren KFO-Gerät;0;;;32,13 €;33,82 €;32,13 €;33,82 €;32,13 €;33,82 €;;
9330;9330;Versandkosten;0;;;;5,60 €;;5,60 €;;5,60 €;;
9338;9338;Versandkosten bei Implantatv.;0;;;;5,60 €;;;;5,60 €;;
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;;;12,87 €;12,87 €;12,87 €;12,87 €;12,87 €;12,87 €;;
