Kürzel;Nr.;Bezeichnung;Kassenart;Preis Kons Praxislabor;Preis Kons Gewerbelabor;Preis ZE Praxislabor;Preis ZE Gewerbelabor;Preis KFO Praxislabor;Preis KFO Gewerbelabor;Preis KB Praxislabor;Preis KB Gewerbelabor;Preis PA Praxislabor;Preis PA Gewerbelabor;
0216;0216;Basis für Bissregistrierung bei Implantatversorgung;0;26,18;27,56;;;;;;;;;
0217;0217;Individueller Löffel UKPS;0;26,18;27,56;;;;;;;;;
0218;0218;Basis für Aufstellung bei Implantatversorgung;0;26,18;27,56;;;;;;;;;
0220;0220;Bisswall;0;7,55;7,95;;;;;;;;;
0228;0228;Bisswall bei Implantatversorgung;0;7,55;7,95;;;;;;;;;
0230;0230;Registrierplatte und -stift auf Basen;0;33,67;35,44;;;;;;;;;
0240;0240;Übertragungskappe Kunststoff/Metall;0;28,83;30,35;;;;;;;;;
0310;0310;Provisorische Krone/Brückenglied;0;38,55;40,58;;;;;;;;;
0320;0320;Formteil;0;20,89;21,99;;;;;;;;;
1013;1013;Wurzelstiftkappe;0;89,82;94,55;;;;;;;;;
1021;1021;Vollkrone/Metall;0;96,55;101,63;;;;;;;;;
1022;1022;Teilkrone/Metall;0;96,55;101,63;;;;;;;;;
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;94,53;99,51;;;;;;;;;
1024;1024;Krone für vestibuläre Verblendung;0;95,76;100,8;;;;;;;;;
1026;1026;Vollkrone/Metall bei Implantatv.;0;96,55;101,63;;;;;;;;;
1028;1028;Krone f. vestib. Verbl. bei Implantatversorgung;0;95,76;100,8;;;;;;;;;
1031;1031;Vorbereiten Krone;0;16,13;16,98;;;;;;;;;
1032;1032;Krone/Brückenglied einarbeiten;0;16,13;16,98;;;;;;;;;
1033;1033;Stiftaufbau einarbeiten;0;16,13;16,98;;;;;;;;;
1040;1040;Modellation gießen;0;21;22,11;;;;;;;;;
1050;1050;Stiftaufbau;0;63,52;66,86;;;;;;;;;
1100;1100;Brückenglied;0;69,1;72,74;;;;;;;;;
1200;1200;Teleskopierende Krone;0;300,84;316,67;;;;;;;;;
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;200,74;211,31;;;;;;;;;
1331;1331;Individuelles Geschiebe;0;251,35;264,58;;;;;;;;;
1341;1341;Konfektions-Geschiebe;0;124,55;131,1;;;;;;;;;
1343;1343;Konfektions-Anker;0;124,55;131,1;;;;;;;;;
1347;1347;Primär-/Sekundärteil Konf.-Anker;0;82,87;87,23;;;;;;;;;
1349;1349;Wiederbefestigung Sekundärteil;0;82,87;87,23;;;;;;;;;
1360;1360;Gefrästes Lager;0;59,85;63;;;;;;;;;
1370;1370;Schubverteilungsarm;0;44,88;47,24;;;;;;;;;
1500;1500;Metallverbindung nach Brand;0;33,48;35,24;;;;;;;;;
1550;1550;Konditionierung je Zahn/Flügel;0;15,95;16,79;;;;;;;;;
1600;1600;Vestibuläre Verblendung Kunststoff;0;54,66;57,54;;;;;;;;;
1610;1610;Zahnfleisch Kunststoff;0;17,39;18,31;;;;;;;;;
1620;1620;Vestibuläre Verblendung Keramik;0;112,29;118,2;;;;;;;;;
1628;1628;Vestib. Verbl. Keramik bei Implantatversorgung;0;112,29;118,2;;;;;;;;;
1630;1630;Zahnfleisch Keramik;0;40,13;42,24;;;;;;;;;
1638;1638;Zahnfleisch Keramik bei Implantatversorgung;0;40,13;42,24;;;;;;;;;
1640;1640;Vestibuläre Verblendung Komposite;0;85,47;89,97;;;;;;;;;
1650;1650;Zahnfleisch Komposite;0;23,17;24,39;;;;;;;;;
2010;2010;Metallbasis;0;163,24;171,83;;;;;;;;;
2021;2021;Einarmige gegossene Haltevorrichtung;0;13,98;14,72;;;;;;;;;
2025;2025;Kralle;0;13,98;14,72;;;;;;;;;
2026;2026;Ney-Stiel;0;13,98;14,72;;;;;;;;;
2027;2027;Auflage;0;13,98;14,72;;;;;;;;;
2028;2028;Umgehungsbügel bei Diastema;0;13,98;14,72;;;;;;;;;
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;25,59;26,94;;;;;;;;;
2041;2041;Zweiarmige gegossene Halte- und Stützvorr. m. Auflage;0;34,57;36,39;;;;;;;;;
2050;2050;Bonwillklammer;0;63,08;66,4;;;;;;;;;
2081;2081;Rückenschutzplatte;0;45,67;48,07;;;;;;;;;
2082;2082;Metallzahn, gegossen;0;45,67;48,07;;;;;;;;;
2083;2083;Metallkaufläche, gegossen;0;45,67;48,07;;;;;;;;;
2100;2100;Lösungshilfe;0;13,21;13,9;;;;;;;;;
2110;2110;Unterfütterbarer Abschlussrand;0;21,08;22,19;;;;;;;;;
2120;2120;Zuschlag einzelne gegossene Klammer;0;21,92;23,07;;;;;;;;;
3010;3010;Aufstellung, Grundeinheit;0;34,39;36,2;;;;;;;;;
3018;3018;Aufstellung, Grundeinheit bei Implantatversorgung;0;34,39;36,2;;;;;;;;;
3020;3020;Aufstellen Wachs oder Kunststoff je Zahn;0;2,05;2,16;;;;;;;;;
3028;3028;Aufst. Wachs oder Kunststoff je Zahn bei Implantatv.;0;2,05;2,16;;;;;;;;;
3030;3030;Aufstellen Metall je Zahn;0;2,71;2,85;;;;;;;;;
3410;3410;Übertragung je Zahn;0;1,7;1,79;;;;;;;;;
3610;3610;Fertigstellung Grundeinheit;0;57,72;60,76;;;;;;;;;
3618;3618;Fertigstellung Grundeinheit bei Implantatversorgung;0;57,72;60,76;;;;;;;;;
3620;3620;Fertigstellen je Zahn;0;3,71;3,91;;;;;;;;;
3628;3628;Fertigstellen je Zahn bei Implantatversorgung;0;3,71;3,91;;;;;;;;;
3800;3800;Einfache gebogene Halte-/Stützvorrichtung;0;11,39;11,99;;;;;;;;;
3805;3805;Gebogene Auflage ;0;11,39;11,99;;;;;;;;;
3810;3810;Sonstige gebogene Halte- und/oder Stützvorrichtung;0;19,24;20,25;;;;;;;;;
3821;3821;Weichkunststoff ;0;62,35;65,63;;;;;;;;;
3822;3822;Sonderkunststoff;0;62,35;65,63;;;;;;;;;
3830;3830;Zahn zahnfarben hergestellt;0;26,14;27,52;;;;;;;;;
3840;3840;Zahn zahnfarben hinterlegen;0;13,72;14,44;;;;;;;;;
4010;4010;Aufbissbehelf mit adjustierter Oberfläche;0;97,45;102,58;;;;;;;;;
4020;4020;Aufbissbehelf ohne adjustierte Oberfläche;0;70,63;74,35;;;;;;;;;
4030;4030;Umarbeiten zum Aufbissbehelf;0;54,04;56,88;;;;;;;;;
4040;4040;Semipermanente Schiene aus Metall, je Zahn;0;53,92;56,76;;;;;;;;;
5010;5010;Basen für UKPS;0;294,42;309,92;;;;;;;;;
5020;5020;Vestibuläre Protrusionsgleitfläche UKPS;0;21,99;23,15;;;;;;;;;
5100;5100;Befestigungselement Protrusionselement UKPS;0;17,01;17,9;;;;;;;;;
5110;5110;Protrusionselement UKPS;0;17,01;17,9;;;;;;;;;
5200;5200;Befestigungselement Mundöffnungsbegrenzung UKPS;0;11,41;12,01;;;;;;;;;
5210;5210;Einfaches gebogenes Halteelement UKPS;0;11,41;12,01;;;;;;;;;
7010;7010;Basis für Einzelkiefergerät;0;59,83;62,98;;;;;;;;;
7020;7020;Basis bimaxilläres Gerät;0;115,12;121,18;;;;;;;;;
7030;7030;Schiefe Ebene;0;59,1;62,21;;;;;;;;;
7040;7040;Vorhofplatte;0;77,44;81,52;;;;;;;;;
7050;7050;Kinnkappe;0;58,05;61,1;;;;;;;;;
7100;7100;Aufbiss;0;12;12,63;;;;;;;;;
7110;7110;Abschirmelement;0;21,99;23,15;;;;;;;;;
7121;7121;Weichkunststoff (KFO);0;24,99;26,31;;;;;;;;;
7122;7122;Sonderkunststoff (KFO);0;24,99;26,31;;;;;;;;;
7200;7200;Schraube einarbeiten;0;17,01;17,9;;;;;;;;;
7210;7210;Spezialschraube einarbeiten;0;20,47;21,55;;;;;;;;;
7220;7220;Trennen einer Basis;0;8,76;9,22;;;;;;;;;
7300;7300;Labialbogen;0;23,02;24,23;;;;;;;;;
7310;7310;Labialbogen modifiziert;0;30,62;32,23;;;;;;;;;
7320;7320;Labialbogen intermaxillär;0;39,46;41,54;;;;;;;;;
7330;7330;Feder, offen;0;10,34;10,88;;;;;;;;;
7340;7340;Feder, geschlossen;0;12,31;12,96;;;;;;;;;
7400;7400;Verbindungselement/intramaxillär;0;23,26;24,48;;;;;;;;;
7410;7410;Verbindungselemente/intermaxillär;0;32,33;34,03;;;;;;;;;
7420;7420;Verankerungselement;0;26,35;27,74;;;;;;;;;
7430;7430;Einzelelement einarbeiten;0;14,7;15,47;;;;;;;;;
7440;7440;Metallverbindung (KFO);0;19,35;20,37;;;;;;;;;
7500;7500;Einarmiges H-/A-Element;0;11,76;12,38;;;;;;;;;
7510;7510;Mehrarmiges H-/A-Element;0;14,46;15,22;;;;;;;;;
8010;8010;Grundeinheit ZE;0;22,23;23,4;;;;;;;;;
8018;8018;Grundeinheit Instandsetzung ZE/implantatgest.;0;22,23;23,4;;;;;;;;;
8021;8021;LE Sprung;0;9,59;10,09;;;;;;;;;
8022;8022;LE Bruch;0;9,59;10,09;;;;;;;;;
8023;8023;LE Einarbeiten Zahn;0;9,59;10,09;;;;;;;;;
8024;8024;LE Basisteil Kunststoff;0;9,59;10,09;;;;;;;;;
8025;8025;LE Halte- und/oder Stützvorrichtung einarbeiten;0;9,59;10,09;;;;;;;;;
8026;8026;LE Rückenschutzplatte einarbeiten;0;9,59;10,09;;;;;;;;;
8027;8027;LE Kunststoffsattel;0;9,59;10,09;;;;;;;;;
8030;8030;Retention, gebogen;0;41,71;43,9;;;;;;;;;
8040;8040;Retention, gegossen;0;52,68;55,45;;;;;;;;;
8060;8060;Gegossenes Basisteil;0;79,8;84;;;;;;;;;
8070;8070;Metallverbindung bei Instandsetzung/Erweiterung;0;20,89;21,99;;;;;;;;;
8080;8080;Teilunterfütterung einer Basis;0;40,91;43,06;;;;;;;;;
8085;8085;Teilunterfütterung einer Basis UKPS;0;40,91;43,06;;;;;;;;;
8088;8088;Teilunterfütterung/implantatgest.;0;40,91;43,06;;;;;;;;;
8090;8090;Vollständige Unterfütterung;0;65,43;68,87;;;;;;;;;
8098;8098;Vollständige Unterfütterung/implantatgestützte Basis;0;65,43;68,87;;;;;;;;;
8100;8100;Prothesenbasis erneuern;0;80,06;84,27;;;;;;;;;
8108;8108;Prothesenbasis erneuern/Implantatversorgung;0;80,06;84,27;;;;;;;;;
8130;8130;Auswechseln Konfektionsteil;0;14,03;14,77;;;;;;;;;
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;41,15;43,32;;;;;;;;;
8208;8208;Instandsetzung Krone/implantatgest.;0;41,15;43,32;;;;;;;;;
8500;8500;Grundeinheit Instandsetzung/Erweiterung UKPS;0;57,84;60,88;;;;;;;;;
8511;8511;LE Erneuerung Basis UKPS;0;147,22;154,97;;;;;;;;;
8512;8512;LE Sprung/Bruch UKPS;0;9,6;10,1;;;;;;;;;
8513;8513;LE Basisteil Kunststoff UKPS;0;9,6;10,1;;;;;;;;;
8514;8514;LE Halte- und/oder Stützvorrichtung einarbeiten UKPS;0;9,6;10,1;;;;;;;;;
8610;8610;Grundeinheit/Instandsetzung KFO oder Aufbissbehelf;0;21,41;22,54;;;;;;;;;
8620;8620;LE Einfügen Regulierungs- oder Halteelement;0;7,56;7,96;;;;;;;;;
8630;8630;LE Erneuerung eines Elementes/intermaxillär;0;16,16;17,01;;;;;;;;;
8640;8640;KFO-Basis erneuern;0;75,42;79,39;;;;;;;;;
8700;8700;Remontieren KFO-Gerät;0;38,98;41,03;;;;;;;;;
9330;9330;Versandkosten;0;6,85;6,85;;;;;;;;;
9335;9335;Versandkosten UKPS;0;6,85;6,85;;;;;;;;;
9338;9338;Versandkosten bei Implantatversorgung;0;6,85;6,85;;;;;;;;;
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;16,43;16,43;;;;;;;;;
