kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
5480;5480;Schuchardtschiene für GOÄ 2698/2699 (Unfall);0;0;0;0;0;0;0;0;0;0;0
5510;5510;Provisorische Krone/Brückenglied;0;0;0;0;0;0;0;0;0;0;0
5511;5511;Stiftprovisorium;0;0;0;0;0;0;0;0;0;0;0
5599;5599;ZE – Fertigteile (konf Stiftaufbau, angussf. Stifte, Friktio;0;0;0;0;0;0;0;0;0;0;0
5998;5998;Rabatt;0;0;0;0;0;0;0;0;0;0;0
5999;5999;Sonstige Materialien;0;0;0;0;0;0;0;0;0;0;0
7010;7010;Basis für Einzelkiefergerät;0;0;0;59,26;62,38;59,26;62,38;59,26;62,38;0;0
7020;7020;Basis bimaxilläres Gerät;0;0;0;99,2;104,42;99,2;104,42;99,2;104,42;0;0
7030;7030;Schiefe Ebene;0;0;0;47,8;50,32;47,8;50,32;47,8;50,32;0;0
7040;7040;Vorhofplatte;0;0;0;63,81;67,17;63,81;67,17;63,81;67,17;0;0
7050;7050;Kinnkappe;0;0;0;53,12;55,92;53,12;55,92;53,12;55,92;0;0
7100;7100;Aufbiss;0;0;0;10,62;11,18;10,62;11,18;10,62;11,18;0;0
7110;7110;Abschirmelement;0;0;0;20,53;21,61;20,53;21,61;20,53;21,61;0;0
7121;7121;Weichkunststoff (KFO);0;0;0;35,33;37,19;35,33;37,19;35,33;37,19;0;0
7122;7122;Sonderkunststoff (KFO);0;0;0;34,36;36,17;34,36;36,17;34,36;36,17;0;0
7200;7200;Schraube einarbeiten;0;0;0;16,27;17,13;16,27;17,13;16,27;17,13;0;0
7210;7210;Spezial-Schraube einarbeiten;0;0;0;25,81;27,17;25,81;27,17;25,81;27,17;0;0
7220;7220;Trennen einer Basis;0;0;0;7,62;8,02;7,62;8,02;7,62;8,02;0;0
7300;7300;Labialbogen;0;0;0;21,55;22,68;21,55;22,68;21,55;22,68;0;0
7310;7310;Labialbogen modifiziert;0;0;0;30,58;32,19;30,58;32,19;30,58;32,19;0;0
7320;7320;Labialbogen intermaxillär;0;0;0;31,87;33,55;31,87;33,55;31,87;33,55;0;0
7330;7330;Feder, offen;0;0;0;8,99;9,46;8,99;9,46;8,99;9,46;0;0
7340;7340;Feder, geschlossen;0;0;0;11,93;12,56;11,93;12,56;11,93;12,56;0;0
7400;7400;Verbindungselement/intramaxillär;0;0;0;26,92;28,34;26,92;28,34;26,92;28,34;0;0
7410;7410;Verbindungselemente/intermaxillär;0;0;0;22,76;23,96;22,76;23,96;22,76;23,96;0;0
7420;7420;Verankerungselement;0;0;0;22,76;23,96;22,76;23,96;22,76;23,96;0;0
7430;7430;Einzelelement einarbeiten;0;0;0;13,09;13,78;13,09;13,78;13,09;13,78;0;0
7440;7440;Metallverbindung (KFO);0;0;0;13,48;14,19;13,48;14,19;13,48;14,19;0;0
7500;7500;Einarmiges H-/A-Element;0;0;0;8,82;9,28;8,82;9,28;8,82;9,28;0;0
7510;7510;Mehrarmiges H-/A-Element;0;0;0;19,54;20,57;19,54;20,57;19,54;20,57;0;0
8010;8010;Grundeinheit  ZE;0;0;0;19,76;20,8;0;0;19,76;20,8;0;0
8018;8018;Grundeinh. Instands. ZE/implantatgest.;0;0;0;19,76;20,8;0;0;19,76;20,8;0;0
8021;8021;LE Sprung;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8022;8022;LE Bruch;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8023;8023;LE Einarbeiten Zahn;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8024;8024;LE Basisteil Kunststoff;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8025;8025;LE Halte- und/oder Stützvorrichtung einarbeiten;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8026;8026;LE Rückenschutzplatte einarbeiten;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8027;8027;LE Kunststoffsattel;0;0;0;8,51;8,96;8,51;8,96;8,51;8,96;0;0
8030;8030;Retention, gebogen;0;0;0;35,62;37,49;0;0;35,62;37,49;0;0
8040;8040;Retention, gegossen;0;0;0;44,7;47,05;0;0;44,7;47,05;0;0
8060;8060;Gegossenes Basisteil;0;0;0;70,89;74,62;0;0;70,89;74,62;0;0
8070;8070;Metallverbindung bei Instandsetzung /Erweiterung;0;0;0;17,73;18,66;0;0;17,73;18,66;0;0
8080;8080;Teilunterfütterung einer Basis;0;0;0;34,7;36,53;34,7;36,53;34,7;36,53;0;0
8085;8085;Teilunterfütterung einer Basis UKPS;0;0;0;0;0;0;0;3,35;3,53;0;0
8088;8088;Teilunterfütterung/implantatgest.;0;0;0;34,7;36,53;0;0;34,7;36,53;0;0
8090;8090;Vollständige Unterfütterung;0;0;0;56,46;59,43;56,46;59,43;56,46;59,43;0;0
8098;8098;Vollst. Unterfütterung/implantatgest.;0;0;0;56,46;59,43;0;0;56,46;59,43;0;0
8100;8100;Prothesenbasis erneuern;0;0;0;71,13;74,87;0;0;71,13;74,87;0;0
8108;8108;Prothesenbasis erneuern/Implantatv.;0;0;0;71,13;74,87;0;0;71,13;74,87;0;0
8130;8130;Auswechseln Konfektionsteil;0;0;0;11,91;12,54;0;0;11,91;12,54;0;0
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;0;0;36,57;38,49;0;0;36,57;38,49;0;0
8208;8208;Instandsetzung Krone/implantatgest.;0;0;0;36,57;38,49;0;0;36,57;38,49;0;0
8500;8500;Grundeinheit für Instandsetzung/Erweiterung einer UKPS;0;0;0;0;0;0;0;51,38;54,08;0;0
8511;8511;LE Erneuerung Basis UKPS;0;0;0;0;0;0;0;127,03;133,72;0;0
8512;8512;LE Sprung/Bruch UKPS;0;0;0;0;0;0;0;8,51;8,96;0;0
8513;8513;LE Basisteil Kunststoff UKPS;0;0;0;0;0;0;0;8,51;8,96;0;0
8514;8514;LE Halte- und/oder Stützvorrichtung einarbeiten UKPS;0;0;0;0;0;0;0;8,51;8,96;0;0
8610;8610;Grundeinheit / Instands. KFO oder Aufbissbehelf;0;0;0;20,76;21,85;20,76;21,85;20,76;21,85;0;0
8620;8620;LE Einfügen Regulierungs- oder Haltelement;0;0;0;8,41;8,85;8,41;8,85;8,41;8,85;0;0
8630;8630;LE Erneuerung eines Elementes/intermaxillär;0;0;0;11,38;11,98;11,38;11,98;11,38;11,98;0;0
8640;8640;KFO-Basis erneuern;0;0;0;77,62;81,7;77,62;81,7;77,62;81,7;0;0
8700;8700;Remontieren KFO-Gerät;0;0;0;34,7;36,53;34,7;36,53;34,7;36,53;0;0
9330;9330;Versandkosten;0;0;0;0;6,06;0;6,06;0;6,06;0;0
9335;9335;Versandkosten UKPS;0;0;0;0;0;0;0;0;6,06;0;0
9338;9338;Versandkosten bei Implantatv.;0;0;0;0;6,06;0;0;0;6,06;0;0
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;0;0;13,95;13,95;13,95;13,95;13,95;13,95;0;0
