kuerzel;nr;bezeichnung;kassenart;preiskchpraxis;preiskchgewerbe;preiszepraxis;preiszegewerbe;preiskfopraxis;preiskfogewerbe;preiskbpraxis;preiskbgewerbe;preispapraxis;preispagewerbe
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;;;86,87;91,44;;;86,87;91,44;0;0
1024;1024;Krone für vestibuläre Verblendung;0;;;88,01;92,64;;;88,01;92,64;0;0
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;;;88,72;93,39;;;88,72;93,39;0;0
1028;1028;Krone für vestib. Verbl. bei Implantatversorgung;0;;;88,01;92,64;;;88,01;92,64;0;0
1031;1031;Vorbereiten Krone;0;;;14,64;15,41;;;14,64;15,41;0;0
1032;1032;Krone/Brückenglied einarbeiten;0;;;14,64;15,41;;;14,64;15,41;0;0
1033;1033;Stiftaufbau einarbeiten;0;;;14,64;15,41;;;14,64;15,41;0;0
1040;1040;Modellation gießen;0;;;19,29;20,31;;;19,29;20,31;0;0
1050;1050;Stiftaufbau;0;;;55,76;58,69;;;55,76;58,69;0;0
1100;1100;Brückenglied;0;;;62,90;66,21;;;62,90;66,21;0;0
1200;1200;Teleskopierende Krone;0;;;273,83;288,24;;;273,83;288,24;0;0
1201;1201;Teleskopierende Primär- oder Sekundärkrone;0;;;184,49;194,20;;;184,49;194,20;0;0
1331;1331;Individuelles Geschiebe;0;;;220,65;232,26;;;220,65;232,26;0;0
1341;1341;Konfektions-Geschiebe;0;;;109,34;115,09;;;109,34;115,09;0;0
1343;1343;Konfektions-Anker;0;;;109,34;115,09;;;109,34;115,09;0;0
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;;;73,25;77,10;;;73,25;77,10;0;0
1349;1349;Wiederbef. Sek.-Teil;0;;;73,25;77,10;;;73,25;77,10;0;0
1360;1360;Gefrästes Lager;0;;;52,71;55,48;;;52,71;55,48;0;0
1370;1370;Schubverteilungsarm;0;;;39,40;41,47;;;39,40;41,47;0;0
1500;1500;Metallverbindung nach Brand;0;;;30,75;32,37;;;30,75;32,37;0;0
1550;1550;Konditionierung je Zahn/Flügel;0;;;14,52;15,28;14,52;15,28;14,52;15,28;0;0
1600;1600;Vestibuläre Verblendung Kunststoff;0;;;47,98;50,50;47,98;50,50;47,98;50,50;0;0
1610;1610;Zahnfleisch Kunststoff;0;;;15,27;16,07;15,27;16,07;15,27;16,07;0;0
1620;1620;Vestibuläre Verblendung Keramik;0;;;98,28;103,45;;;98,28;103,45;0;0
1628;1628;Vestib. Verbl. Keramik bei Implantatv.;0;;;98,28;103,45;;;98,28;103,45;0;0
1630;1630;Zahnfleisch Keramik;0;;;35,69;37,57;;;35,69;37,57;0;0
1638;1638;Zahnfleisch  Keramik bei Implantatv.;0;;;35,69;37,57;;;35,69;37,57;0;0
1640;1640;Vestibuläre Verblendung Komposit;0;;;77,81;81,90;77,81;81,90;77,81;81,90;0;0
1650;1650;Zahnfleisch Komposit;0;;;20,34;21,41;20,34;21,41;20,34;21,41;0;0
2010;2010;Metallbasis;0;;;148,59;156,41;148,59;156,41;148,59;156,41;0;0
2021;2021;Einarmige gegossene Haltevorrichtung;0;;;12,84;13,52;12,84;13,52;12,84;13,52;0;0
2025;2025;Kralle;0;;;12,84;13,52;12,84;13,52;12,84;13,52;0;0
2026;2026;Ney-Stiel;0;;;12,62;13,28;12,62;13,28;12,62;13,28;0;0
2027;2027;Auflage;0;;;12,84;13,52;12,84;13,52;12,84;13,52;0;0
2028;2028;Umgehungsbügel bei Diastema;0;;;12,84;13,52;12,84;13,52;12,84;13,52;0;0
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;;;23,52;24,76;23,52;24,76;23,52;24,76;0;0
2041;2041;Zweiarmige gegossene Halte- und Stützvorrichtung/ Auflage;0;;;31,47;33,13;31,47;33,13;31,47;33,13;0;0
2050;2050;Bonwillklammer;0;;;55,37;58,28;55,37;58,28;55,37;58,28;0;0
2081;2081;Rückenschutzplatte;0;;;40,09;42,20;40,09;42,20;40,09;42,20;0;0
2082;2082;Metallzahn, gegossen;0;;;40,09;42,20;40,09;42,20;40,09;42,20;0;0
2083;2083;Metallkaufläche, gegossen;0;;;40,09;42,20;40,09;42,20;40,09;42,20;0;0
2100;2100;Lösungshilfe;0;;;12,14;12,78;;;12,14;12,78;0;0
2110;2110;Unterfütterbarer Abschlussrand;0;;;19,37;20,39;;;19,37;20,39;0;0
2120;2120;Zuschlag einzelne gegossene Klammer;0;;;19,24;20,25;19,24;20,25;19,24;20,25;0;0
3010;3010;Aufstellung Grundeinheit;0;;;31,60;33,26;;;31,60;33,26;0;0
3018;3018;Aufstellung Grundeinheit bei Implantatv.;0;;;31,60;33,26;;;31,60;33,26;0;0
3020;3020;Aufstellen Wachs oder Kunststoff, je Zahn;0;;;1,87;1,97;1,87;1,97;1,87;1,97;0;0
3028;3028;Aufst. Wachs- oder Kunststoff je Zahn bei Implantatv.;0;;;1,82;1,92;;;1,82;1,92;0;0
3030;3030;Aufstellen Metall je Zahn;0;;;2,46;2,59;2,46;2,59;2,46;2,59;0;0
3410;3410;Übertragung je Zahn;0;;;1,56;1,64;;;1,56;1,64;0;0
3610;3610;Fertigstellung Grundeinheit;0;;;53,06;55,85;;;53,06;55,85;0;0
3618;3618;Fertigst. Grundeinheit bei Implantatv.;0;;;53,06;55,85;;;53,06;55,85;0;0
3620;3620;Fertigstellen je Zahn;0;;;3,38;3,56;3,38;3,56;3,38;3,56;0;0
3628;3628;Fertigstellen je Zahn bei Implantatv.;0;;;3,26;3,43;;;3,26;3,43;0;0
3800;3800;Einfache gebogene Halte- /Stützvorrichtung;0;;;10,37;10,92;10,37;10,92;10,37;10,92;0;0
3805;3805;Gebogene Auflage;0;;;10,00;10,53;10,00;10,53;10,00;10,53;0;0
3810;3810;Sonstige gebogene Halte- und/oder Stützvorrichtung;0;;;17,68;18,61;17,68;18,61;17,68;18,61;0;0
3821;3821;Weichkunststoff;0;;;56,38;59,35;56,38;59,35;56,38;59,35;0;0
3822;3822;Sonderkunststoff;0;;;56,38;59,35;56,38;59,35;56,38;59,35;0;0
3830;3830;Zahn zahnfarben hergestellt;0;;;23,64;24,88;23,64;24,88;23,64;24,88;0;0
3840;3840;Zahn zahnfarben hinterlegt;0;;;12,49;13,15;12,49;13,15;12,49;13,15;0;0
4010;4010;Aufbissbehelf m.adj. Oberfläche;0;;;98,78;103,98;98,78;103,98;98,78;103,98;0;0
4011;4011;Aufbißschiene;0;;;;;;;;;0;0
4020;4020;Aufbissbehelf o. adj. Oberfläche;0;;;70,77;74,49;70,77;74,49;70,77;74,49;0;0
4030;4030;Umarbeiten zum  Aufbissbehelf;0;;;51,03;53,72;51,03;53,72;51,03;53,72;0;0
4040;4040;Semipermanente Schiene aus Metall, je Zahn;0;;;22,42;23,60;22,42;23,60;22,42;23,60;0;0
4060;4060;Semipermanente Schiene aus Kunststoff, je Zahn;0;;;;;;;;;0;0
5001;5001;Abformmaterial;0;;;;;;;;;0;0
5010;5010;Basen UKPS;0;;;;;;;264,58;278,51;0;0
5011;5011;Bissregistrat (Quetschbiss);0;;;;;;;;;0;0
5020;5020;Vestibuläre Protrulionsgleitflächen UKPS;0;;;;;;;21,38;22,50;0;0
5022;5022;Kinnkappe;0;;;;;;;;;0;0
5023;5023;Kopfkappe (konfektioniert);0;;;;;;;;;0;0
5024;5024;Kopfkinnkappe;0;;;;;;;;;0;0
5025;5025;Positioner/Prefinisher;0;;;;;;;;;0;0
5031;5031;Schrauben;0;;;;;;;;;0;0
5032;5032;Headgearröhrchen;0;;;;;;;;;0;0
5033;5033;Zahn;0;;;;;;;;;0;0
5041;5041;Weich- und Sonderkunststoffe;0;;;;;;;;;0;0
5042;5042;Festsitzende Kunststoffaufbisse (okklusal);0;;;;;;;;;0;0
5053;5053;Silikonschlauch (bei Allergie);0;;;;;;;;;0;0
5071;5071;Testmaterial;0;;;;;;;;;0;0
5091;5091;Nackenpolster;0;;;;;;;;;0;0
5092;5092;Kopfkappe (intra-extraoral);0;;;;;;;;;0;0
5093;5093;Nackenzug;0;;;;;;;;;0;0
5094;5094;Herbstscharnier;0;;;;;;;;;0;0
5095;5095;Bügel/Sporne;0;;;;;;;;;0;0
5100;5100;Befestigungselement Protrulionselement UKPS;0;;;;;;;16,95;17,84;0;0
5102;5102;Delaire - Maske;0;;;;;;;;;0;0
5110;5110;Protrulionselement UKPS;0;;;;;;;16,95;17,84;0;0
5200;5200;Befestigungselement Mundöffnungsbegrenzung UKPS;0;;;;;;;10,07;10,60;0;0
5210;5210;Einfaches gebogenes Halteelement für UKPS;0;;;;;;;10,07;10,60;0;0
5410;5410;Kunststoffmaterial (Unterfütterung, Adjustierung, Fixierung);0;;;;;;;;;0;0
5420;5420;Compositematerial (semipermanente Schiene);0;;;;;;;;;0;0
5425;5425;Polyesterfäden bzw. -netze, Gummizüge;0;;;;;;;;;0;0
5440;5440;Draht/Drahtelemente zur Fixierung;0;;;;;;;;;0;0
5460;5460;Osteosynthesematerial (Platten u. Schrauben);0;;;;;;;;;0;0
5461;5461;Obturator;0;;;;;;;;;0;0
5462;5462;Resektions-/ Defektprothese;0;;;;;;;;;0;0
5463;5463;Epithese;0;;;;;;;;;0;0
5464;5464;Wundschnellverband;0;;;;;;;;;0;0
5480;5480;Schuchardtschiene für GOÄ 2698/2699 (Unfall);0;;;;;;;;;0;0
5510;5510;Provisorische Krone/Brückenglied;0;;;;;;;;;0;0
5511;5511;Stiftprovisorium;0;;;;;;;;;0;0
5599;5599;ZE – Fertigteile (konf Stiftaufbau, angussf. Stifte, Friktio;0;;;;;;;;;0;0
5998;5998;Rabatt;0;;;;;;;;;0;0
5999;5999;Sonstige Materialien;0;;;;;;;;;0;0
7010;7010;Basis für Einzelkiefergerät;0;;;61,71;64,96;61,71;64,96;61,71;64,96;0;0
7020;7020;Basis bimaxilläres Gerät;0;;;103,30;108,74;103,30;108,74;103,30;108,74;0;0
7030;7030;Schiefe Ebene;0;;;49,78;52,40;49,78;52,40;49,78;52,40;0;0
7040;7040;Vorhofplatte;0;;;66,45;69,95;66,45;69,95;66,45;69,95;0;0
7050;7050;Kinnkappe;0;;;55,33;58,24;55,33;58,24;55,33;58,24;0;0
7100;7100;Aufbiss;0;;;11,06;11,64;11,06;11,64;11,06;11,64;0;0
7110;7110;Abschirmelement;0;;;21,38;22,50;21,38;22,50;21,38;22,50;0;0
7121;7121;Weichkunststoff (KFO);0;;;36,79;38,73;36,79;38,73;36,79;38,73;0;0
7122;7122;Sonderkunststoff (KFO);0;;;35,79;37,67;35,79;37,67;35,79;37,67;0;0
7200;7200;Schraube einarbeiten;0;;;16,95;17,84;16,95;17,84;16,95;17,84;0;0
7210;7210;Spezial-Schraube einarbeiten;0;;;26,88;28,29;26,88;28,29;26,88;28,29;0;0
7220;7220;Trennen einer Basis;0;;;7,93;8,35;7,93;8,35;7,93;8,35;0;0
7300;7300;Labialbogen;0;;;22,44;23,62;22,44;23,62;22,44;23,62;0;0
7310;7310;Labialbogen modifiziert;0;;;31,84;33,52;31,84;33,52;31,84;33,52;0;0
7320;7320;Labialbogen intermaxillär;0;;;33,19;34,94;33,19;34,94;33,19;34,94;0;0
7330;7330;Feder, offen;0;;;9,36;9,85;9,36;9,85;9,36;9,85;0;0
7340;7340;Feder, geschlossen;0;;;12,43;13,08;12,43;13,08;12,43;13,08;0;0
7400;7400;Verbindungselement/intramaxillär;0;;;28,03;29,51;28,03;29,51;28,03;29,51;0;0
7410;7410;Verbindungselemente/intermaxillär;0;;;23,70;24,95;23,70;24,95;23,70;24,95;0;0
7420;7420;Verankerungselement;0;;;23,70;24,95;23,70;24,95;23,70;24,95;0;0
7430;7430;Einzelelement einarbeiten;0;;;13,63;14,35;13,63;14,35;13,63;14,35;0;0
7440;7440;Metallverbindung (KFO);0;;;14,04;14,78;14,04;14,78;14,04;14,78;0;0
7500;7500;Einarmiges H-/A-Element;0;;;9,18;9,66;9,18;9,66;9,18;9,66;0;0
7510;7510;Mehrarmiges H-/A-Element;0;;;20,35;21,42;20,35;21,42;20,35;21,42;0;0
8010;8010;Grundeinheit  ZE;0;;;20,43;21,51;;;20,43;21,51;0;0
8018;8018;Grundeinh. Instands. ZE/implantatgest.;0;;;20,43;21,51;;;20,43;21,51;0;0
8021;8021;LE Sprung;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8022;8022;LE Bruch;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8023;8023;LE Einarbeiten Zahn;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8024;8024;LE Basisteil Kunststoff;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8025;8025;LE Halte- und/oder Stützvorrichtung einarbeiten;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8026;8026;LE Rückenschutzplatte einarbeiten;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8027;8027;LE Kunststoffsattel;0;;;8,81;9,27;8,81;9,27;8,81;9,27;0;0
8030;8030;Retention, gebogen;0;;;37,96;39,96;;;37,96;39,96;0;0
8040;8040;Retention, gegossen;0;;;46,24;48,67;;;46,24;48,67;0;0
8060;8060;Gegossenes Basisteil;0;;;73,33;77,19;;;73,33;77,19;0;0
8070;8070;Metallverbindung bei Instandsetzung /Erweiterung;0;;;19,02;20,02;;;19,02;20,02;0;0
8080;8080;Teilunterfütterung einer Basis;0;;;35,90;37,79;35,90;37,79;35,90;37,79;0;0
8085;8085;Teilunterfütterung einer Basis UKPS;0;;;;;;;36,14;38,04;0;0
8088;8088;Teilunterfütterung/implantatgest.;0;;;35,90;37,79;;;35,90;37,79;0;0
8090;8090;Vollständige Unterfütterung;0;;;59,56;62,69;59,56;62,69;59,56;62,69;0;0
8098;8098;Vollst. Unterfütterung/implantatgest.;0;;;58,41;61,48;;;58,41;61,48;0;0
8100;8100;Prothesenbasis erneuern;0;;;73,58;77,45;;;73,58;77,45;0;0
8108;8108;Prothesenbasis erneuern/Implantatv.;0;;;73,58;77,45;;;73,58;77,45;0;0
8130;8130;Auswechseln Konfektionsteil;0;;;12,32;12,97;;;12,32;12,97;0;0
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;;;37,83;39,82;;;37,83;39,82;0;0
8208;8208;Instandsetzung Krone/implantatgest.;0;;;37,83;39,82;;;37,83;39,82;0;0
8500;8500;Grundeinheit für Instandsetzung/Erweiterung einer UKPS;0;;;;;;;53,50;56,32;0;0
8511;8511;LE Erneuerung Basis UKPS;0;;;;;;;132,30;139,26;0;0
8512;8512;LE Sprung/Bruch UKPS;0;;;;;;;8,86;9,33;0;0
8513;8513;LE Basisteil Kunststoff UKPS;0;;;;;;;8,86;9,33;0;0
8514;8514;LE Halte- und/oder Stützvorrichtung einarbeiten UKPS;0;;;;;;;8,86;9,33;0;0
8610;8610;Grundeinheit / Instands. KFO oder Aufbissbehelf;0;;;20,76;21,85;20,76;21,85;20,76;21,85;0;0
8620;8620;LE Einfügen Regulierungs- oder Haltelement;0;;;8,76;9,22;8,76;9,22;8,76;9,22;0;0
8630;8630;LE Erneuerung eines Elementes/intermaxillär;0;;;11,86;12,48;11,86;12,48;11,86;12,48;0;0
8640;8640;KFO-Basis erneuern;0;;;80,83;85,08;80,83;85,08;80,83;85,08;0;0
8700;8700;Remontieren KFO-Gerät;0;;;36,14;38,04;36,14;38,04;36,14;38,04;0;0
9330;9330;Versandkosten;0;;;;6,27;;6,27;;6,27;0;0
9335;9335;Versandkosten UKPS;0;;;;;;;;6,31;0;0
9338;9338;Versandkosten bei Implantatv.;0;;;;6,27;;;;6,27;0;0
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;;;13,71;14,43;13,71;14,43;13,71;14,43;0;0
