BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
7310;7310;Labialbogen modifiziert;0;25,48;26,82
7320;7320;Labialbogen intermaxillär;0;28,07;29,55
7330;7330;Feder, offen;0;10,33;10,87
7340;7340;Feder, geschlossen;0;14,01;14,75
7400;7400;Verbindungselement/intra;0;20,43;21,50
7410;7410;Verbindungselement/inter;0;25,48;26,82
7420;7420;Verankerungselement;0;20,88;21,98
7430;7430;Einzelelement einarbeiten;0;11,91;12,54
7440;7440;Metallverbindung (KFO);0;8,68;9,14
7500;7500;Einarmiges Halte-/Abstützelement;0;6,86;7,22
7510;7510;Mehrarmiges Halte-/Abstützelement;0;10,28;10,82
8010;8010;Grundeinheit Instandsetzung ZE;0;20,43;21,51
8018;8018;Grundeinheit Instands. ZE/implantatgestü.;0;19,86;20,90
8021;8021;LE Sprung;0;8,81;9,27
8022;8022;LE Bruch;0;8,81;9,27
8023;8023;LE Einarbeiten Zahn;0;8,81;9,27
8024;8024;LE Basisteil Kunststoff;0;8,81;9,27
8025;8025;LE Halte- und/oder Stützvorr. einarbeiten;0;8,81;9,27
8026;8026;LE Rückenschutzplatte einarbeiten;0;8,81;9,27
8027;8027;LE Kunststoffsattel;0;8,81;9,27
8030;8030;Retention, gebogen;0;37,49;39,46
8040;8040;Retention, gegossen;0;47,35;49,84
8060;8060;Gegossenes Basisteil;0;73,33;77,19
8070;8070;Metallverbind. b. Instandsetz./Erweiterung;0;19,20;20,21
8080;8080;Teilunterfütterung einer Basis;0;36,77;38,71
8088;8088;Teilunterfütterung/implantatgestützt;0;36,52;38,44
8090;8090;Vollständige Unterfütterung;0;60,13;63,29
8098;8098;Vollständige Unterfütterung/implantatgestü.;0;58,42;61,49
8100;8100;Prothesenbasis erneuern;0;71,96;75,75
8108;8108;Prothesenbasis erneuern bei Implantatvers.;0;71,48;75,24
8130;8130;Auswechseln Konfektionsteil;0;12,62;13,28
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;36,99;38,94
8208;8208;Instandsetzung Krone/implantatgestützt;0;36,75;38,68
8610;8610;Grundeinheit/Instands. KFO o. Aufbissbehelf;0;15,37;16,18
8620;8620;LE Einfügen Regulierungs- oder Halteelem.;0;6,56;6,91
8630;8630;LE Erneuerung eines Elementes/intermax.;0;12,76;13,43
8640;8640;KFO-Basis erneuern;0;61,15;64,37
8700;8700;Remontieren KFO-Gerät;0;29,90;31,47
9330;9330;Versandkostenpauschale;0;0,00;6,29
9338;9338;Versandkosten bei Implantatversorgung;0;0,00;6,29
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;14,34;15,10
0015;0015;Modell UKPS;0;6,92;7,28
0025;0025;Doublieren Modell UKPS;0;14,30;15,05
0115;0115;Fixator UKPS;0;8,97;9,44
0125;0125;Mittelwertartikulator UKPS;0;10,17;10,71
0217;0217;Individueller Löffel UKPS;0;23,51;24,75
0205;0205;Vorbereiten Bissgabel UKPS;0;7,83;8,24
9335;9335;Vesandkosten UKPS;0;0,00;6,28
5010;5010;Basen für UKPS;0;265,76;279,75
5020;5020;Vestibuläre Protrusionsgleitfläche UKPS;0;19,92;20,97
5100;5100;Befestigungselement Protrusionselememt ;0;15,28;16,08
5110;5110;Protrusionselement UKPS;0;15,28;16,08
5200;5200;Befestigungselement Mundöffnungsbegrenzg. ;0;10,16;10,69
5210;5210;einfaches gebogenes Halteelement UKPS;0;10,16;10,69
8500;8500;Grundeinheit Instandsetzung/Erweiterung ;0;52,09;54,83
8511;8511;LE Erneuerung Basen UKPS;0;132,90;139,89
8512;8512;LE Sprung/Bruch UKPS;0;8,55;9,00
8513;8513;LE Basisteil Kunststoff UKPS;0;8,55;9,00
8514;8514;LE Halte- und/oder Stützvorrichtg. einarbeiten;0;8,55;9,00
8085;8085;Teilunterfütterung Basis UKPS;0;36,53;38,45
