Kuerzel;Nr;Bezeichnung;Kassenart;KCH Praxis;KCH Gewerbe;ZE Praxis;ZE Gewerbe;KFO Praxis;KFO Gewerbe;KB Praxis;KB Gewerbe;PA Praxis;PA Gewerbe
2120;2120;Zuschlag einzelne gegossene Klammer;0;0,00;0,00;19,61;20,64;19,13;20,14;19,13;20,14;0,00;0,00
3020;3020;Aufstellen Wachs- oder Kunststoff je Zahn;0;0,00;0,00;1,88;1,98;1,84;1,94;1,84;1,94;0,00;0,00
3030;3030;Aufstellen Metall je Zahn;0;0,00;0,00;2,48;2,61;2,39;2,52;2,39;2,52;0,00;0,00
3620;3620;Fertigstellen je Zahn;0;0,00;0,00;3,41;3,59;3,31;3,48;3,31;3,48;0,00;0,00
3800;3800;Einfache gebogene Halte- / Stützvorrichtung;0;0,00;0,00;10,23;10,77;9,87;10,39;9,87;10,39;0,00;0,00
3805;3805;Gebogene Auflage;0;0,00;0,00;9,87;10,39;9,87;10,39;9,87;10,39;0,00;0,00
3810;3810;Sonstige gebogene Halte- / Stützvorrichtung;0;0,00;0,00;17,69;18,62;17,50;18,42;17,50;18,42;0,00;0,00
3821;3821;Weichkunststoff;0;0,00;0,00;54,08;56,93;56,34;59,30;56,34;59,30;0,00;0,00
3822;3822;Sonderkunststoff;0;0,00;0,00;54,08;56,93;56,34;59,30;56,34;59,30;0,00;0,00
3830;3830;Zahn zahnfarben hergestellt;0;0,00;0,00;21,74;22,88;22,66;23,85;22,66;23,85;0,00;0,00
3840;3840;Zahn zahnfarben hinterlegt;0;0,00;0,00;12,61;13,27;11,89;12,52;11,89;12,52;0,00;0,00
4010;4010;Aufbissschiene m. adj. Oberfläche;0;0,00;0,00;0,00;0,00;68,61;72,22;68,61;72,22;0,00;0,00
4020;4020;Aufbissschiene o. adj. Oberfläche;0;0,00;0,00;0,00;0,00;56,84;59,83;56,84;59,83;0,00;0,00
4030;4030;Umarbeiten zum Aufbissbehelf;0;0,00;0,00;0,00;0,00;42,40;44,63;42,40;44,63;0,00;0,00
4040;4040;Semipermanente Schiene aus Metall, je Zahn ;0;0,00;0,00;0,00;0,00;31,00;32,63;31,00;32,63;0,00;0,00
5010;5010;Basen für UKPS;0;0,00;0,00;0,00;0,00;268,95;283,10;268,95;283,10;0,00;0,00
5020;5020;Vestibuläre Protrusionsgleitfläche UKPS;0;0,00;0,00;0,00;0,00;17,50;18,42;17,50;18,42;0,00;0,00
5100;5100;Befestigungselement Protrusionselement UKPS;0;0,00;0,00;0,00;0,00;15,42;16,23;15,42;16,23;0,00;0,00
5110;5110;Protrusionselement UKPS;0;0,00;0,00;0,00;0,00;15,42;16,23;15,42;16,23;0,00;0,00
5200;5200;Befestigungselement Mundöffnungsbegrenzung UKPS;0;0,00;0,00;0,00;0,00;9,98;10,51;9,98;10,51;0,00;0,00
5210;5210;Einfaches gebogenes Halteelement UKPS;0;0,00;0,00;0,00;0,00;9,98;10,51;9,98;10,51;0,00;0,00
7010;7010;Basis für Einzelkiefergerät;0;0,00;0,00;0,00;0,00;50,85;53,53;50,85;53,53;0,00;0,00
7020;7020;Basis bimaxilläres Gerät;0;0,00;0,00;0,00;0,00;88,80;93,47;88,80;93,47;0,00;0,00
7030;7030;Schiefe Ebene;0;0,00;0,00;0,00;0,00;20,39;21,46;20,39;21,46;0,00;0,00
7040;7040;Vorhofplatte;0;0,00;0,00;0,00;0,00;49,22;51,81;49,22;51,81;0,00;0,00
7050;7050;Kinnkappe;0;0,00;0,00;0,00;0,00;49,47;52,07;49,47;52,07;0,00;0,00
7100;7100;Aufbiss;0;0,00;0,00;0,00;0,00;9,54;10,04;9,54;10,04;0,00;0,00
7110;7110;Abschirmelement;0;0,00;0,00;0,00;0,00;17,50;18,42;17,50;18,42;0,00;0,00
7121;7121;Weichkunststoff (KFO);0;0,00;0,00;0,00;0,00;20,62;21,71;20,62;21,71;0,00;0,00
7122;7122;Sonderkunststoff (KFO);0;0,00;0,00;0,00;0,00;56,30;59,26;56,30;59,26;0,00;0,00
7200;7200;Schraube einarbeiten;0;0,00;0,00;0,00;0,00;15,42;16,23;15,42;16,23;0,00;0,00
7210;7210;Spezial-Schraube einarbeiten;0;0,00;0,00;0,00;0,00;25,76;27,12;25,76;27,12;0,00;0,00
7220;7220;Trennen einer Basis;0;0,00;0,00;0,00;0,00;6,34;6,67;6,34;6,67;0,00;0,00
7300;7300;Labialbogen;0;0,00;0,00;0,00;0,00;18,52;19,49;18,52;19,49;0,00;0,00
7310;7310;Labialbogen modifiziert;0;0,00;0,00;0,00;0,00;25,76;27,12;25,76;27,12;0,00;0,00
7320 ;7320 ;Labialbogen intermaxillär;0;0,00;0,00;0,00;0,00;25,76;27,12;25,76;27,12;0,00;0,00
7330;7330;Feder, offen;0;0,00;0,00;0,00;0,00;8,01;8,43;8,01;8,43;0,00;0,00
7340;7340;Feder, geschlossen;0;0,00;0,00;0,00;0,00;12,38;13,03;12,38;13,03;0,00;0,00
7400;7400;Verbindungselement / intramaxillär;0;0,00;0,00;0,00;0,00;21,04;22,15;21,04;22,15;0,00;0,00
7410;7410;Verbindungselement / intermaxillär;0;0,00;0,00;0,00;0,00;25,76;27,12;25,76;27,12;0,00;0,00
7420 ;7420 ;Verankerungselement;0;0,00;0,00;0,00;0,00;21,04;22,15;21,04;22,15;0,00;0,00
7430;7430;Einzelelement einarbeiten;0;0,00;0,00;0,00;0,00;9,14;9,62;9,14;9,62;0,00;0,00
7440 ;7440 ;Metallverbindung (KFO);0;0,00;0,00;0,00;0,00;8,78;9,24;8,78;9,24;0,00;0,00
7500;7500;Einarmiges H-/ A-Element;0;0,00;0,00;0,00;0,00;8,26;8,69;8,26;8,69;0,00;0,00
7510;7510;Mehrarmiges H-/ A-Element;0;0,00;0,00;0,00;0,00;10,43;10,98;10,43;10,98;0,00;0,00
8021;8021;LE Sprung;0;0,00;0,00;8,81;9,27;8,68;9,14;8,68;9,14;0,00;0,00
8022;8022;LE Bruch;0;0,00;0,00;8,81;9,27;8,68;9,14;8,68;9,14;0,00;0,00
8023;8023;LE Einarbeiten Zahn;0;0,00;0,00;8,81;9,27;8,68;9,14;8,68;9,14;0,00;0,00
8024;8024;LE Basisteil Kunststoff;0;0,00;0,00;8,81;9,27;8,68;9,14;8,68;9,14;0,00;0,00
8025;8025;LE Klammer einarbeiten;0;0,00;0,00;8,81;9,27;8,68;9,14;8,68;9,14;0,00;0,00
8026;8026;LE Rückenschutzplatte;0;0,00;0,00;8,40;8,84;8,24;8,67;8,24;8,67;0,00;0,00
8027;8027;LE Kunststoffsattel;0;0,00;0,00;8,81;9,27;8,51;8,96;8,51;8,96;0,00;0,00
8080;8080;Teilunterfütterung einer Basis;0;0,00;0,00;37,36;39,33;37,00;38,95;37,00;38,95;0,00;0,00
8085;8085;Teilunterfütterung Basis UKPS;0;0,00;0,00;0,00;0,00;37,36;39,33;37,36;39,33;0,00;0,00
8090;8090;Vollständige Unterfütterung;0;0,00;0,00;60,13;63,29;59,76;62,91;59,76;62,91;0,00;0,00
8500;8500;Grundeinheit Instands.Erweiterung UKPS;0;0,00;0,00;0,00;0,00;53,09;55,88;53,09;55,88;0,00;0,00
8511;8511;Erneuerung Basis UKPS;0;0,00;0,00;0,00;0,00;134,47;141,55;134,47;141,55;0,00;0,00
8512;8512;LE Sprung/Bruch UKPS;0;0,00;0,00;0,00;0,00;8,78;9,24;8,78;9,24;0,00;0,00
8513;8513;LE Basisteil Kunststoff UKPS;0;0,00;0,00;0,00;0,00;8,78;9,24;8,78;9,24;0,00;0,00
8514;8514;LE Halte-u./o.Stützvorrichtung.einarbeiten UKPS;0;0,00;0,00;0,00;0,00;8,78;9,24;8,78;9,24;0,00;0,00
8610;8610;Grundeinheit/Instands.KFO od. Aufbissbehelf;0;0,00;0,00;0,00;0,00;22,14;23,31;22,14;23,31;0,00;0,00
8620 ;8620 ;LE Einfügen Regulierungs.-od.Halteelement;0;0,00;0,00;0,00;0,00;6,64;6,99;6,64;6,99;0,00;0,00
8630;8630;LE Erneuerung e. Elements/intermaxillär;0;0,00;0,00;0,00;0,00;12,89;13,57;12,89;13,57;0,00;0,00
8640;8640;KFO-Basis erneuern;0;0,00;0,00;0,00;0,00;62,10;65,37;62,10;65,37;0,00;0,00
8700;8700;Remontieren KFO Gerät;0;0,00;0,00;0,00;0,00;29,90;31,47;29,90;31,47;0,00;0,00
9330;9330;Versandkosten;0;0,00;0,00;0,00;0,00;0,00;6,29;0,00;6,29;0,00;0,00
9335;9335;Versandkosten UKPS;0;0,00;0,00;0,00;0,00;0,00;6,29;0,00;6,29;0,00;0,00
0018;0018;Modell bei Implantatversorgung;0;0,00;0,00;6,99;7,36;0,00;0,00;0,00;0,00;0,00;0,00
0022;0022;Platzhalter einfügen;0;0,00;0,00;14,42;15,18;0,00;0,00;0,00;0,00;0,00;0,00
0023;0023;Verwendung von Kunststoff;0;0,00;0,00;14,71;15,48;0,00;0,00;0,00;0,00;0,00;0,00
0024;0024;Galvanisieren;0;0,00;0,00;13,59;14,31;0,00;0,00;0,00;0,00;0,00;0,00
0051;0051;Sägemodell;0;0,00;0,00;16,58;17,45;0,00;0,00;0,00;0,00;0,00;0,00
0052;0052;Einzelstumpfmodell;0;0,00;0,00;15,79;16,62;0,00;0,00;0,00;0,00;0,00;0,00
0053;0053;Modell nach Überabdruck;0;0,00;0,00;16,58;17,45;0,00;0,00;0,00;0,00;0,00;0,00
0055;0055;Fräsmodell;0;0,00;0,00;11,27;11,86;0,00;0,00;0,00;0,00;0,00;0,00
0128;0128;Mittelwertartikulator für Implantatversorgung;0;0,00;0,00;9,97;10,49;0,00;0,00;0,00;0,00;0,00;0,00
0201;0201;Basis für Vorbissnahme;0;0,00;0,00;8,69;9,15;0,00;0,00;0,00;0,00;0,00;0,00
0211;0211;Individueller Löffel;0;0,00;0,00;24,06;25,33;0,00;0,00;0,00;0,00;0,00;0,00
0212 ;0212 ;Funktionslöffel;0;0,00;0,00;24,06;25,33;0,00;0,00;0,00;0,00;0,00;0,00
0214;0214;Basis für Stützstiftregistrierung;0;0,00;0,00;22,59;23,78;0,00;0,00;0,00;0,00;0,00;0,00
0215;0215;Basis für Aufstellung;0;0,00;0,00;24,06;25,33;0,00;0,00;0,00;0,00;0,00;0,00
0216;0216;Basis für Bissregistr. bei Implantatversorgung;0;0,00;0,00;22,86;24,06;0,00;0,00;0,00;0,00;0,00;0,00
0218;0218;Basis für Aufstellung bei Implantatversorgung ;0;0,00;0,00;22,86;24,06;0,00;0,00;0,00;0,00;0,00;0,00
0228;0228;Bisswall bei Implantatversorgung;0;0,00;0,00;6,63;6,98;0,00;0,00;0,00;0,00;0,00;0,00
0230;0230;Registrierplatte und -stift auf Basen;0;0,00;0,00;29,15;30,68;0,00;0,00;0,00;0,00;0,00;0,00
0240;0240;Übertragungskappe Kunststoff / Metall;0;0,00;0,00;26,50;27,89;0,00;0,00;0,00;0,00;0,00;0,00
0310;0310;Provisorische Krone / Brückenglied;0;0,00;0,00;33,74;35,52;0,00;0,00;0,00;0,00;0,00;0,00
0320;0320;Formteil;0;0,00;0,00;18,29;19,25;0,00;0,00;0,00;0,00;0,00;0,00
1013;1013;Wurzelstiftkappe;0;0,00;0,00;76,54;80,57;0,00;0,00;0,00;0,00;0,00;0,00
1021;1021;Vollkrone / Metall;0;0,00;0,00;88,37;93,02;0,00;0,00;0,00;0,00;0,00;0,00
1022;1022;Teilkrone / Metall;0;0,00;0,00;82,51;86,85;0,00;0,00;0,00;0,00;0,00;0,00
1023;1023;Flügel für Adhäsivbrücke, je Flügel;0;0,00;0,00;79,76;83,96;0,00;0,00;0,00;0,00;0,00;0,00
1024;1024;Krone für vestibuläre Verblendung;0;0,00;0,00;88,01;92,64;0,00;0,00;0,00;0,00;0,00;0,00
1026;1026;Vollkrone / Metall bei Implantatversorgung;0;0,00;0,00;80,66;84,90;0,00;0,00;0,00;0,00;0,00;0,00
1028;1028;Krone für vestibuläre Verblendung bei Implantatv.;0;0,00;0,00;80,01;84,22;0,00;0,00;0,00;0,00;0,00;0,00
1031;1031;Vorbereiten Krone;0;0,00;0,00;14,12;14,86;0,00;0,00;0,00;0,00;0,00;0,00
1032;1032;Krone / Brückenglied einarbeiten;0;0,00;0,00;13,96;14,69;0,00;0,00;0,00;0,00;0,00;0,00
1033;1033;Stiftaufbau einarbeiten;0;0,00;0,00;13,96;14,69;0,00;0,00;0,00;0,00;0,00;0,00
1040;1040;Modellation gießen;0;0,00;0,00;18,17;19,13;0,00;0,00;0,00;0,00;0,00;0,00
1050;1050;Stiftaufbau;0;0,00;0,00;56,97;59,97;0,00;0,00;0,00;0,00;0,00;0,00
1100;1100;Brückenglied;0;0,00;0,00;63,50;66,84;0,00;0,00;0,00;0,00;0,00;0,00
1200;1200;Teleskopierende Krone;0;0,00;0,00;276,45;291,00;0,00;0,00;0,00;0,00;0,00;0,00
1201;1201;Teleskopierende Primär-o. Sekundärkrone;0;0,00;0,00;173,76;182,91;0,00;0,00;0,00;0,00;0,00;0,00
1331;1331;Individuelles Geschiebe;0;0,00;0,00;210,78;221,87;0,00;0,00;0,00;0,00;0,00;0,00
1341;1341;Konfektions-Geschiebe;0;0,00;0,00;104,43;109,93;0,00;0,00;0,00;0,00;0,00;0,00
1343;1343;Konfektions-Anker;0;0,00;0,00;106,44;112,04;0,00;0,00;0,00;0,00;0,00;0,00
1347;1347;Primär-/Sek.-Teil Konf.-Anker;0;0,00;0,00;68,93;72,56;0,00;0,00;0,00;0,00;0,00;0,00
1349;1349;Wiederbef. Sek.- Teil;0;0,00;0,00;72,87;76,70;0,00;0,00;0,00;0,00;0,00;0,00
1360;1360;Gefrästes Lager;0;0,00;0,00;52,74;55,52;0,00;0,00;0,00;0,00;0,00;0,00
1370;1370;Schubverteilungsarm;0;0,00;0,00;39,56;41,64;0,00;0,00;0,00;0,00;0,00;0,00
1500;1500;Metallverbindung nach Brand;0;0,00;0,00;28,98;30,50;0,00;0,00;0,00;0,00;0,00;0,00
1620;1620;Vestibuläre Verblendung Keramik;0;0,00;0,00;103,19;108,62;0,00;0,00;0,00;0,00;0,00;0,00
1628;1628;Vestibuläre Verblendung Keramik bei Implantatv.;0;0,00;0,00;94,27;99,23;0,00;0,00;0,00;0,00;0,00;0,00
1630;1630;Zahnfleisch Keramik ;0;0,00;0,00;35,12;36,97;0,00;0,00;0,00;0,00;0,00;0,00
1638;1638;Zahnfleisch Keramik bei Implantatversorgung;0;0,00;0,00;33,70;35,47;0,00;0,00;0,00;0,00;0,00;0,00
2100;2100;Lösungshilfe;0;0,00;0,00;11,01;11,59;0,00;0,00;0,00;0,00;0,00;0,00
2110;2110;Unterfütterbarer Abschlussrand ;0;0,00;0,00;17,57;18,49;0,00;0,00;0,00;0,00;0,00;0,00
3010;3010;Aufstellung Grundeinheit;0;0,00;0,00;31,60;33,26;0,00;0,00;0,00;0,00;0,00;0,00
3018;3018;Aufstellung Grundeinheit bei Implantatv.;0;0,00;0,00;28,64;30,15;0,00;0,00;0,00;0,00;0,00;0,00
3028;3028;Aufst. Wachs- oder Kunststoff je Zahn bei Implantatversorgung;0;0,00;0,00;1,76;1,85;0,00;0,00;0,00;0,00;0,00;0,00
3410;3410;Übertragung je Zahn;0;0,00;0,00;1,56;1,64;0,00;0,00;0,00;0,00;0,00;0,00
3610;3610;Fertigstellung Grundeinheit;0;0,00;0,00;53,06;55,85;0,00;0,00;0,00;0,00;0,00;0,00
3618;3618;Fertigstellung Grundeinheit bei Implantatv.;0;0,00;0,00;48,09;50,62;0,00;0,00;0,00;0,00;0,00;0,00
3628;3628;Fertigstellen je Zahn bei Implantatversorgung;0;0,00;0,00;3,16;3,33;0,00;0,00;0,00;0,00;0,00;0,00
8010;8010;Grundeinheit ZE ;0;0,00;0,00;20,43;21,51;0,00;0,00;0,00;0,00;0,00;0,00
8018;8018;Grundeinheit Instands. ZE /implantatgestützt;0;0,00;0,00;19,29;20,30;0,00;0,00;0,00;0,00;0,00;0,00
8030;8030;Retention, gebogen;0;0,00;0,00;38,07;40,07;0,00;0,00;0,00;0,00;0,00;0,00
8040;8040;Retention, gegossen;0;0,00;0,00;48,10;50,63;0,00;0,00;0,00;0,00;0,00;0,00
8060;8060;Gegossenes Basisteil;0;0,00;0,00;72,88;76,72;0,00;0,00;0,00;0,00;0,00;0,00
8070;8070;Metallverbindung bei Instandsetzung / Erweiterung;0;0,00;0,00;18,79;19,78;0,00;0,00;0,00;0,00;0,00;0,00
8088;8088;Teilunterfütterung/ implantatgestützt;0;0,00;0,00;34,17;35,97;0,00;0,00;0,00;0,00;0,00;0,00
8098;8098;Vollständige Unterfütterung / implantatgestützt;0;0,00;0,00;58,81;61,90;0,00;0,00;0,00;0,00;0,00;0,00
8100;8100;Prothesenbasis erneuern;0;0,00;0,00;70,44;74,15;0,00;0,00;0,00;0,00;0,00;0,00
8108;8108;Prothesenbasis erneuern / Implantatversorgung;0;0,00;0,00;70,22;73,92;0,00;0,00;0,00;0,00;0,00;0,00
8130;8130;Auswechseln Konfektionsteil;0;0,00;0,00;12,47;13,13;0,00;0,00;0,00;0,00;0,00;0,00
8200;8200;Instandsetzung Krone / Flügel / Brückenglied;0;0,00;0,00;34,90;36,74;0,00;0,00;0,00;0,00;0,00;0,00
8208;8208;Instandsetzung Krone / implantatgestützt;0;0,00;0,00;35,18;37,03;0,00;0,00;0,00;0,00;0,00;0,00
9330 ;9330 ;Versandkosten;0;0,00;0,00;0,00;6,29;0,00;0,00;0,00;0,00;0,00;0,00
9338 ;9338 ;Versandkosten bei Implantatversorgung;0;0,00;0,00;0,00;6,28;0,00;0,00;0,00;0,00;0,00;0,00
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;0,00;0,00;15,10;15,10;0,00;0,00;0,00;0,00;0,00;0,00
