Kürzel;Nr;Kassenart;Kurzbezeichnung;Fremdlabor;Eigenlabor
3805;3805;0;EinfachegebogeneHalte-/Stützvor.-gebogeneAuflage;10,16;9,65
3810;3810;0;Sonstigegeb.Halte-und/oderStützvor.;17,16;16,30
3821;3821;0;Weichkunststoff;55,59;52,81
3822;3822;0;Sonderkunststoff;55,59;52,81
3830;3830;0;Zahnzahnfarbenhergestellt;23,31;22,14
3840;3840;0;Zahnzahnfarbenhinterlegt;12,24;11,63
8010;8010;0;GrundeinheitZE;19,83;18,84
8018;8018;0;Grundeinh.Instands.ZE/implantatgest.;19,83;18,84
8021;8021;0;LESprung;8,55;8,12
8022;8022;0;LEBruch;8,55;8,12
8023;8023;0;LEEinarbeitenZahn;8,55;8,12
8024;8024;0;LEBasisteilKunststoff;8,55;8,12
8025;8025;0;LEHalte-und/oderStützvor.einarbeiten;8,55;8,12
8026;8026;0;LERückenschutzplatteeinarbeiten;8,55;8,12
8027;8027;0;LEKunststoffsattel;8,55;8,12
8030;8030;0;Retention,gebogen;37,05;35,20
8040;8040;0;Retention,gegossen;46,79;44,45
8060;8060;0;GegossenesBasisteil;70,95;67,40
8070;8070;0;Metallverb.BeiInstands./Erweiterung;18,55;17,62
8080;8080;0;TeilunterfütterungeinerBasis;36,33;34,51
8088;8088;0;Teilunterfütterung/implantatgest.;36,33;34,51
8090;8090;0;VollständigeUnterfütterung;58,34;55,42
8098;8098;0;Vollst.Unterfütterung/implantatgest.;58,34;55,42
8100;8100;0;Prothesenbasiserneuern;71,38;67,81
8108;8108;0;Prothesenbasiserneuern/implantatv.;71,38;67,81
8130;8130;0;AuswechselnKonfektionsteil;12,47;11,85
8200;8200;0;Instands.Krone/Flügel/Brückenglied;36,57;34,74
8208;8208;0;Instands.Krone/Implantatgest.;36,57;34,74
9330;9330;0;Versandkosten;5,80;
9338;9338;0;VersandkostenbeiImplantatv.;5,77;
9700;9700;0;VerarbeitungsaufwandNEM-Legierung;13,89;13,20
