BEL_KNR;BEL_NR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
1024;1024;Krone für vestibuläre Verblendung;0;78,38;82,50
1026;1026;Vollkrone/Metall bei Implantatversorgung;0;79,01;83,17
1028;1028;Krone für vestib.Verblendung bei Impl.vers.;0;78,38;82,50
1031;1031;Vorbereiten Krone/Brückenglied ;0;13,20;13,89
1032;1032;Krone/Brückenglied einarbeiten;0;13,20;13,89
1033;1033;Stiftaufbau einarbeiten;0;13,20;13,89
1040;1040;Modellation gießen;0;17,19;18,09
1050;1050;Stiftaufbau ;0;51,99;54,73
1100;1100;Brückenglied;0;56,55;59,53
1200;1200;Teleskopierende Krone;0;246,19;259,15
1201;1201;Teleskopierende Primär- o. Sekundärkrone;0;164,28;172,93
1331;1331;Individuelles Geschiebe- nur bei geteilter Br.;0;205,70;216,53
1341;1341;Konfektion. Geschiebe- nur bei geteilter Br.;0;101,93;107,29
1343;1343;Konfektionsanker;0;101,93;107,29
1347;1347;Primär-/Sekundär-Teil Konfektionsanker;0;67,82;71,39
1349;1349;Wiederbef. Sekundär-Teil ind. Verbindung;0;67,82;71,39
1360;1360;Gefrästes Lager;0;48,98;51,56
1370;1370;Schubverteilungsarm;0;36,74;38,67
1500;1500;Metallverbindung nach Brand;0;27,39;28,83
1550;1550;Konditionierung, je Zahn/Flügel;0;13,05;13,74
1600;1600;Vestibuläre Verblendung Kunststoff;0;44,75;47,10
1610;1610;Zahnfleisch Kunststoff;0;14,23;14,98
1620;1620;Vestibuläre Verblendung Keramik;0;91,89;96,73
1628;1628;Vestib. Verblendg. Keramik bei Impl.vers.;0;91,89;96,73
1630;1630;Zahnfleisch Keramik;0;32,84;34,57
1638;1638;Zahnfleisch Keramik bei Implantatvers.;0;32,84;34,57
1640;1640;Vestibuläre Verblendung Komposite;0;69,96;73,64
1650;1650;Zahnfleisch Komposite;0;18,96;19,96
2010;2010;Metallbasis;0;133,59;140,62
2021;2021;Einarmige gegossene Haltevorrichtung;0;11,45;12,05
2025;2025;Kralle;0;11,45;12,05
2026;2026;Ney-Stiel;0;11,45;12,05
2027;2027;Auflage;0;11,45;12,05
2028;2028;Umgehungsbügel bei Diastema;0;11,45;12,05
2031;2031;Zweiarmige gegossene Haltevorrichtung;0;20,95;22,05
2041;2041;Zweiarmige geg. Halte- u. Stützvorr./Auflage;0;28,30;29,79
2050;2050;Bonwillklammer;0;51,62;54,34
2081;2081;Rückenschutzplatte;0;37,38;39,35
2082;2082;Metallzahn, gegossen;0;37,38;39,35
2083;2083;Metallkaufläche, gegossen;0;37,38;39,35
2100;2100;Lösungshilfe;0;10,81;11,38
2110;2110;Unterfütterbarer Abschlussrand;0;17,25;18,16
2120;2120;Zuschlag  einzelne gegossene Klammer;0;17,94;18,88
3010;3010;Aufstellung Grundeinheit;0;28,13;29,61
3018;3018;Aufstellung Grundeinh. bei Implantatvers.;0;28,13;29,61
3020;3020;Aufstellen Wachs o. Kunststoff, je Zahn;0;1,68;1,77
3028;3028;Aufst. Wachs o. Kunstst., je Zahn b. Implant.;0;1,68;1,77
3030;3030;Aufstellen Metall, je Zahn;0;2,21;2,33
3410;3410;Übertragung, je Zahn;0;1,39;1,46
3610;3610;Fertigstellung Grundeinheit;0;47,24;49,73
3618;3618;Fertigst. Grundeinheit bei Implantatvers.;0;47,24;49,73
3620;3620;Fertigstellen, je Zahn;0;3,05;3,21
3628;3628;Fertigstellen, je Zahn bei Implantatvers.;0;3,05;3,21
3800;3800;Einfache gebog. Halte- und/oder Stützvorr.;0;9,34;9,83
3805;3805;Gebogene Auflage;0;9,34;9,83
3810;3810;Sonstige gebog. Halte- und/oder Stützvorr.;0;15,75;16,58
3821;3821;Weichkunststoff (ZE);0;51,02;53,70
3822;3822;Sonderkunststoff;0;51,02;53,70
3830;3830;Zahn zahnfarben hergestellt;0;21,39;22,52
3840;3840;Zahn zahnfarben hinterlegt;0;11,24;11,83
4010;4010;Aufbissbehelf mit adjustierter Oberfläche;0;59,48;62,61
4020;4020;Aufbissbehelf ohne adjustierte Oberfläche;0;49,07;51,65
4030;4030;Umarbeiten zum Aufbissbehelf;0;46,31;48,75
4040;4040;Semiperman. Schiene aus Metall, je Zahn;0;28,52;30,02
7010;7010;Basis Einzelkiefergerät;0;46,71;49,17
7020;7020;Basis bimaxilläres Gerät;0;81,54;85,83
7030;7030;Schiefe Ebene;0;38,13;40,14
7040;7040;Vorhofplatte;0;40,24;42,36
7050;7050;Kinnkappe;0;45,46;47,85
7100;7100;Aufbiss;0;8,55;9,00
7110;7110;Abschirmelement;0;18,49;19,46
7121;7121;Weichkunststoff (KFO);0;19,83;20,87
7122;7122;Sonderkunststoff (KFO);0;19,83;20,87
7200;7200;Schraube einarbeiten;0;14,16;14,91
7210;7210;Spezialschraube einarbeiten;0;23,65;24,89
7220;7220;Trennen einer Basis;0;6,24;6,57
7300;7300;Labialbogen;0;16,98;17,87
7310;7310;Labialbogen modifiziert;0;23,65;24,89
7320;7320;Labialbogen intermaxillär;0;26,04;27,41
7330;7330;Feder, offen;0;9,59;10,09
7340;7340;Feder, geschlossen;0;13,01;13,69
7400;7400;Verbindungselement/intra;0;18,94;19,94
7410;7410;Verbindungselement/inter;0;23,65;24,89
7420;7420;Verankerungselement;0;19,37;20,39
7430;7430;Einzelelement einarbeiten;0;11,06;11,64
7440;7440;Metallverbindung (KFO);0;8,06;8,48
7500;7500;Einarmiges Halte-/Abstützelement;0;6,36;6,69
7510;7510;Mehrarmiges Halte-/Abstützelement;0;9,54;10,04
8010;8010;Grundeinheit Instandsetzung ZE;0;18,20;19,16
8018;8018;Grundeinheit Instands. ZE/implantatgestü.;0;18,20;19,16
8021;8021;LE Sprung;0;7,84;8,25
8022;8022;LE Bruch;0;7,84;8,25
8023;8023;LE Einarbeiten Zahn;0;7,84;8,25
8024;8024;LE Basisteil Kunststoff;0;7,84;8,25
8025;8025;LE Halte- und/oder Stützvorr. einarbeiten;0;7,84;8,25
8026;8026;LE Rückenschutzplatte einarbeiten;0;7,84;8,25
8027;8027;LE Kunststoffsattel;0;7,84;8,25
8030;8030;Retention, gebogen;0;34,13;35,93
8040;8040;Retention, gegossen;0;43,11;45,38
8060;8060;Gegossenes Basisteil;0;65,31;68,75
8070;8070;Metallverbind. b. Instandsetz./Erweiterung;0;17,10;18,00
8080;8080;Teilunterfütterung einer Basis;0;33,47;35,23
8088;8088;Teilunterfütterung/implantatgestützt;0;33,47;35,23
8090;8090;Vollständige Unterfütterung;0;53,54;56,36
8098;8098;Vollständige Unterfütterung/implantatgestü.;0;53,54;56,36
8100;8100;Prothesenbasis erneuern;0;65,51;68,96
8108;8108;Prothesenbasis erneuern bei Implantatvers.;0;65,51;68,96
8130;8130;Auswechseln Konfektionsteil;0;11,49;12,09
8200;8200;Instandsetzung Krone/Flügel/Brückenglied;0;33,70;35,47
8208;8208;Instandsetzung Krone/implantatgestützt;0;33,70;35,47
8610;8610;Grundeinheit/Instands. KFO o. Aufbissbehelf;0;14,26;15,01
8620;8620;LE Einfügen Regulierungs- oder Halteelem.;0;6,09;6,41
8630;8630;LE Ern. eines Elementes/interm. (alt: je Paar);0;11,84;12,46
8640;8640;KFO-Basis erneuern;0;56,73;59,72
8700;8700;Remontieren KFO-Gerät;0;26,65;29,19
9330;9330;Versandkostenpauschale;0;;5,76
9338;9338;Versandkosten bei Implantatversorgung;0;;5,76
9700;9700;Verarbeitungsaufwand NEM-Legierung;0;12,87;13,55
