BEL_KNR;LEIST_BEZ;KAS_ART;PL_EUR;GL_EUR
7330;Feder, offen;0;9,76;10,27
7340;Feder, geschlossen;0;13,24;13,94
7400;Verbindungselement/intra;0;19,29;20,31
7410;Verbindungselement/inter;0;24,08;25,35
7420;Verankerungselement;0;19,73;20,77
7430;Einzelelement einarbeiten;0;11,26;11,85
7440;Metallverbindung (KFO);0;8,21;8,64
7500;Einarmiges Halte-/Abstützelement;0;6,48;6,82
7510;Mehrarmiges Halte-/Abstützelement;0;9,72;10,23
8010;Grundeinheit Instandsetzung ZE;0;18,60;19,58
8018;Grundeinheit Instands. ZE/implantatgestü.;0;18,60;19,58
8021;LE Sprung;0;8,01;8,43
8022;LE Bruch;0;8,01;8,43
8023;LE Einarbeiten Zahn;0;8,01;8,43
8024;LE Basisteil Kunststoff;0;8,01;8,43
8025;LE Halte- und/oder Stützvorr. einarbeiten;0;8,01;8,43
8026;LE Rückenschutzplatte einarbeiten;0;8,01;8,43
8027;LE Kunststoffsattel;0;8,01;8,43
8030;Retention, gebogen;0;34,87;36,71
8040;Retention, gegossen;0;44,04;46,36
8060;Gegossenes Basisteil;0;66,73;70,24
8070;Metallverbind. b. Instandsetz./Erweiterung;0;17,47;18,39
8080;Teilunterfütterung einer Basis;0;34,19;35,99
8088;Teilunterfütterung/implantatgestützt;0;34,19;35,99
8090;Vollständige Unterfütterung;0;54,70;57,58
8098;Vollständige Unterfütterung/implantatgestü.;0;54,70;57,58
8100;Prothesenbasis erneuern;0;66,94;70,46
8108;Prothesenbasis erneuern bei Implantatvers.;0;66,94;70,46
8130;Auswechseln Konfektionsteil;0;11,73;12,35
8200;Instandsetzung Krone/Flügel/Brückenglied;0;34,43;36,24
8208;Instandsetzung Krone/implantatgestützt;0;34,43;36,24
8610;Grundeinheit/Instands. KFO o. Aufbissbehelf;0;14,53;15,29
8620;LE Einfügen Regulierungs- oder Halteelem.;0;6,20;6,53
8630;LE Erneuerung eines Elementes/intermax.;0;12,06;12,69
8640;KFO-Basis erneuern;0;57,79;60,83
8700;Remontieren KFO-Gerät;0;28,25;29,74
9330;Versandkostenpauschale;0;;5,89
9338;Versandkosten bei Implantatversorgung;0;;5,89
9700;Verarbeitungsaufwand NEM-Legierung;0;13,23;13,93
